# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=19
# stan_version_patch=1
# init=random
# enable_random_init=0
# seed=1872613916
# chain_id=1
# iter=1000
# warmup=500
# save_warmup=1
# thin=1
# refresh=100
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=result/calcium-model-100-root-5106-const-Be-eta1/cell-5014/chain_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,sigma,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16
-4.36729e+06,1,0.000244141,1,1,0,9.33049e+06,0.40515,0.783244,0.484947,1.27497,1.62332,0.619693,5.19003,1.83107,3.0621,4.06419,0.376505,0.991349,0.259184,1.99539,0.325593,6.25175,2.48533
-4.36729e+06,0,14.3855,0,1,1,4.3673e+06,0.40515,0.783244,0.484947,1.27497,1.62332,0.619693,5.19003,1.83107,3.0621,4.06419,0.376505,0.991349,0.259184,1.99539,0.325593,6.25175,2.48533
-4.36729e+06,0,2.43117,0,1,1,4.3673e+06,0.40515,0.783244,0.484947,1.27497,1.62332,0.619693,5.19003,1.83107,3.0621,4.06419,0.376505,0.991349,0.259184,1.99539,0.325593,6.25175,2.48533
-4.36729e+06,0,0.239791,0,1,1,4.3673e+06,0.40515,0.783244,0.484947,1.27497,1.62332,0.619693,5.19003,1.83107,3.0621,4.06419,0.376505,0.991349,0.259184,1.99539,0.325593,6.25175,2.48533
-4.36729e+06,0,0.0186273,0,1,1,4.3673e+06,0.40515,0.783244,0.484947,1.27497,1.62332,0.619693,5.19003,1.83107,3.0621,4.06419,0.376505,0.991349,0.259184,1.99539,0.325593,6.25175,2.48533
-4.36729e+06,0,0.00130482,0,1,1,4.3673e+06,0.40515,0.783244,0.484947,1.27497,1.62332,0.619693,5.19003,1.83107,3.0621,4.06419,0.376505,0.991349,0.259184,1.99539,0.325593,6.25175,2.48533
-3.75972e+06,1,8.85015e-05,2,3,0,4.35574e+06,0.405164,0.783281,0.485047,1.27429,1.62355,0.619669,5.18752,1.76444,3.06269,3.70168,0.376639,0.991342,0.259146,1.99508,0.325546,6.25246,2.4786
-1.45319e+06,1,0.000135987,4,15,0,3.71847e+06,0.405553,0.782977,0.484888,1.27004,1.62266,0.619121,5.17265,1.30844,3.06342,1.9931,0.376495,0.991738,0.25932,1.99318,0.325724,6.24339,2.41375
-606550,1,0.000228818,3,7,0,1.43878e+06,0.406361,0.781824,0.48366,1.25806,1.62338,0.619286,5.12147,0.838706,3.06031,1.18258,0.376556,0.991935,0.259453,1.99119,0.325883,6.21538,2.25299
-458022,1,0.000408639,2,3,0,601810,0.407186,0.782029,0.483599,1.24944,1.62304,0.61862,5.08679,0.714214,3.06004,1.00316,0.376451,0.992881,0.259621,1.98714,0.326012,6.19024,2.14242
