# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=19
# stan_version_patch=1
# init=random
# enable_random_init=0
# seed=654902097
# chain_id=2
# iter=1000
# warmup=500
# save_warmup=1
# thin=1
# refresh=100
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=result/calcium-model-100-root-5106-const-Be-eta1/cell-5091/chain_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,sigma,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16
-136740,1,0.00195312,1,1,0,446281,3.23583,1.06954,2.16863,1.17978,0.141469,2.96972,1.03865,0.357396,0.933804,1.32919,0.635658,2.00948,6.01042,2.82899,0.242617,0.170666,1.39403
-136740,0,14.3855,0,1,1,136745,3.23583,1.06954,2.16863,1.17978,0.141469,2.96972,1.03865,0.357396,0.933804,1.32919,0.635658,2.00948,6.01042,2.82899,0.242617,0.170666,1.39403
-136740,0,2.43117,0,1,1,136752,3.23583,1.06954,2.16863,1.17978,0.141469,2.96972,1.03865,0.357396,0.933804,1.32919,0.635658,2.00948,6.01042,2.82899,0.242617,0.170666,1.39403
-136740,0,0.239791,0,1,1,136750,3.23583,1.06954,2.16863,1.17978,0.141469,2.96972,1.03865,0.357396,0.933804,1.32919,0.635658,2.00948,6.01042,2.82899,0.242617,0.170666,1.39403
-136740,0,0.0186273,0,1,1,136744,3.23583,1.06954,2.16863,1.17978,0.141469,2.96972,1.03865,0.357396,0.933804,1.32919,0.635658,2.00948,6.01042,2.82899,0.242617,0.170666,1.39403
-96655.4,1,0.00130482,2,3,0,135173,3.23577,0.943406,1.74548,1.11045,0.141479,2.98051,1.03019,0.319193,0.933294,1.01657,0.633373,2.00854,5.53401,2.81281,0.242109,0.17055,1.37507
-61664.4,1,0.00189104,2,3,0,95070.3,3.22376,0.767815,1.31255,0.991539,0.141702,2.98069,1.01344,0.263499,0.937027,0.736138,0.635268,1.99537,4.7992,2.77783,0.241433,0.169736,1.32641
-32182.6,1,0.00305706,4,15,0,59989.1,3.20339,0.544603,0.882813,0.783233,0.14184,2.99336,0.976451,0.190145,0.935066,0.482254,0.635725,2.00899,3.64885,2.70136,0.240188,0.16886,1.2327
-13325,1,0.00530085,2,3,0,30917.9,3.14847,0.331187,0.514489,0.526523,0.141877,2.96277,0.874376,0.117036,0.943633,0.290031,0.638786,1.95923,2.35057,2.44583,0.23714,0.166761,1.00428
-4789.47,1,0.00961161,2,3,0,12704.3,3.09634,0.190539,0.294566,0.304729,0.142,2.82593,0.674428,0.0656026,0.929708,0.163139,0.633226,1.98315,1.31981,1.90629,0.214469,0.165466,0.677785
-3455.45,1,0.0179176,1,1,0,4605.91,2.97896,0.162255,0.251247,0.258742,0.145614,2.91423,0.592389,0.0540358,0.934486,0.139112,0.631281,1.94377,1.07706,1.67346,0.202288,0.169426,0.580417
-1562.05,1,0.0339435,2,3,0,2969,2.90076,0.10039,0.159485,0.166748,0.144619,3.0468,0.407093,0.0351398,0.958326,0.0925986,0.640465,1.83291,0.795184,1.0868,0.181697,0.166502,0.362331
-628.677,1,0.0648221,1,1,0,1294.88,2.40599,0.0527609,0.0900281,0.0993671,0.14167,2.87134,0.232165,0.0198418,0.970204,0.0472617,0.597804,1.44702,0.384661,0.587817,0.154084,0.164621,0.180369
-469.56,1,0.124086,1,1,0,608.516,1.04818,0.0288866,0.0573699,0.0613475,0.126125,2.62233,0.146771,0.010798,0.89782,0.0258277,0.547583,1.18384,0.264518,0.366558,0.108813,0.197539,0.119893
-469.56,0,0.237148,0,1,1,481.974,1.04818,0.0288866,0.0573699,0.0613475,0.126125,2.62233,0.146771,0.010798,0.89782,0.0258277,0.547583,1.18384,0.264518,0.366558,0.108813,0.197539,0.119893
-423.458,1,0.0203599,3,7,0,475.59,1.50326,0.0254672,0.0547454,0.0658307,0.130753,2.42806,0.14624,0.0107998,0.876266,0.0241838,0.543846,1.13468,0.258095,0.32426,0.119184,0.207027,0.105153
-402.188,1,0.0393257,3,7,0,428.18,1.64898,0.0243647,0.0470998,0.0519029,0.118623,2.19745,0.114396,0.00921752,0.819799,0.0227531,0.714643,0.940823,0.221036,0.257948,0.144916,0.282753,0.0929292
-396.528,0.685989,0.0754671,3,7,0,407.439,1.65576,0.0252148,0.0496889,0.055664,0.116071,2.48397,0.103744,0.00879148,0.844225,0.0238772,0.635513,0.902061,0.211534,0.270524,0.131757,0.322329,0.0890541
-263.219,0.0859688,0.0554844,5,43,1,323.774,1.54631,0.0111138,0.0542835,0.0433395,0.14377,1.70832,0.0960485,0.00581998,0.695485,0.0341587,0.502346,0.795295,0.115888,0.26001,0.120664,7.62701,0.045525
-230.8,1,0.00676195,5,63,0,272.432,1.29103,0.0101171,0.0602458,0.0440748,0.146974,1.57372,0.107198,0.00569302,0.795423,0.0282204,0.476752,0.933536,0.110727,0.222096,0.162588,3.20794,0.0506904
-220.13,0.983842,0.0130345,3,7,0,237.269,1.3131,0.0100669,0.058986,0.044188,0.144422,1.53589,0.108088,0.00581301,0.776541,0.0276816,0.462585,0.950251,0.110778,0.230875,0.149327,3.2551,0.0516406
-175.651,0.689745,0.0237281,2,5,0,230.88,1.26398,0.0097317,0.0605679,0.0415644,0.14121,1.54962,0.114986,0.00599791,0.803939,0.0294931,0.475112,0.956933,0.105931,0.248023,0.139549,4.675,0.044731
-97.0915,0.739325,0.0180751,5,31,0,176.703,0.863029,0.0138248,0.0607489,0.0528451,0.161394,1.62536,0.130474,0.00606191,0.848683,0.0218364,0.653028,0.797796,0.222539,0.351832,0.127957,3.99957,0.0474114
37.9169,0.727831,0.0159893,7,127,0,93.1045,0.317171,0.0114215,0.0375487,0.0326154,2.54231,0.659712,0.0682055,0.00295108,3.7681,0.000108378,1.11382,0.834826,0.240748,0.278369,0.181639,3.64612,0.0250223
90.0498,0.284361,0.0137207,3,11,1,-36.348,0.312973,0.0105814,0.0388386,0.0318858,2.40248,0.689687,0.070531,0.00273372,3.90082,0.000102983,1.14556,0.870775,0.205527,0.282654,0.133815,3.71457,0.0239514
148.216,0.885941,0.00332657,6,63,0,-94.9875,0.146965,0.0107288,0.0517452,0.0388896,2.4503,0.553593,0.0866774,0.00335802,3.48395,0.000110489,1.3156,0.867886,0.190528,0.1931,0.125134,4.67011,0.0229493
148.157,0.143281,0.00454332,2,7,1,-139.662,0.146711,0.0107445,0.0510884,0.0391328,2.45621,0.550351,0.0867444,0.00336142,3.46269,0.000110396,1.3025,0.867201,0.190828,0.194683,0.125166,4.70607,0.0229013
169.429,0.999985,0.000766803,8,255,0,-141.868,0.184124,0.0110669,0.0527219,0.038634,2.46938,0.550181,0.114048,0.00373379,3.97038,0.000110996,1.13883,0.796529,0.160809,0.177814,0.0929053,4.49196,0.0229995
191.298,0.867046,0.00144989,7,180,1,-162.646,0.137289,0.012183,0.0550383,0.0407851,2.27111,0.53924,0.120039,0.00372844,3.75092,0.000121805,1.18703,0.840533,0.150302,0.173847,0.0951541,4.87961,0.020438
217.841,0.869873,0.0018792,6,77,1,-184.665,0.129394,0.0126082,0.0671163,0.0440879,2.40905,0.496851,0.125616,0.00415331,3.14535,0.000121148,1.15722,0.771767,0.128987,0.147761,0.0863239,5.67284,0.0210313
217.841,0.00802434,0.00244412,5,31,0,-205.74,0.129394,0.0126082,0.0671163,0.0440879,2.40905,0.496851,0.125616,0.00415331,3.14535,0.000121148,1.15722,0.771767,0.128987,0.147761,0.0863239,5.67284,0.0210313
223.429,0.997095,0.000304652,10,1023,0,-207.623,0.0877139,0.014399,0.0683627,0.0590286,2.01014,0.466889,0.102285,0.00311477,3.21521,0.000145854,1.19928,0.716653,0.119398,0.142826,0.0869428,6.19371,0.0191826
220.473,0.72083,0.000564114,10,1023,0,-212.611,0.0871345,0.0142401,0.0517359,0.0620623,2.09328,0.296629,0.145488,0.00261956,3.4446,0.000187788,1.52115,0.872475,0.0861826,0.222208,0.095157,6.05937,0.0138858
225.397,0.999991,0.000494267,10,1023,0,-212.331,0.105086,0.0136115,0.0721201,0.0561622,1.88894,0.298966,0.0911391,0.00289956,2.74199,0.000296778,1.24978,0.941688,0.0993248,0.199261,0.0827787,5.30765,0.0155201
231.519,0.956113,0.000909379,10,1023,0,-218.009,0.0862918,0.0141192,0.0691289,0.0630845,4.24761,0.477114,0.107217,0.00246052,3.45831,0.00046552,1.64331,1.04933,0.0836851,0.205223,0.0898199,6.33187,0.0048485
232.437,0.333333,0.00147615,1,3,0,-224.039,0.0861302,0.0141506,0.0691228,0.0632168,4.24698,0.47729,0.106929,0.00245967,3.46162,0.000465552,1.64056,1.05059,0.0835897,0.205497,0.0899997,6.33163,0.00483989
228.832,0.445917,0.000468321,10,1023,0,-218.22,0.0859484,0.0181598,0.0519014,0.0588839,2.43762,0.601098,0.14436,0.00381973,2.50323,0.000489921,1.37612,0.854996,0.0747524,0.267064,0.0950489,5.85145,0.00739227
234.199,0.999973,0.000202383,10,1023,0,-219.665,0.110633,0.0144724,0.0509719,0.0653721,3.03231,0.622455,0.104992,0.00531848,2.63455,0.000520831,1.22303,0.644344,0.0661253,0.296053,0.0863987,5.49657,0.00792169
234.112,0.977057,0.000367566,10,1023,0,-226.134,0.110836,0.0138181,0.0553902,0.0577296,2.90141,0.601829,0.112162,0.00499515,2.6052,0.000504269,1.19214,0.622306,0.0705236,0.267921,0.0874574,5.69676,0.0076433
239.003,0.965195,0.000623813,10,1023,0,-223.536,0.102318,0.0198019,0.0600565,0.0547106,3.2335,1.67695,0.122519,0.00749602,2.4081,0.000386657,0.774109,1.12605,0.0938161,0.195139,0.0836188,5.696,0.00606963
239.486,0.846202,0.00101895,10,1023,0,-228.432,0.0949199,0.0214324,0.0494659,0.0623166,2.22049,1.28117,0.112556,0.00666815,1.25528,0.000482922,0.923087,0.829997,0.0806619,0.231046,0.0906885,5.94791,0.00942201
