,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
sigma,0.06209234818105382,0.00020617458009680118,0.0035010231618489577,0.05560804273301172,0.05959827816986891,0.06196387463415931,0.06440237223248908,0.06924296015475111,288.3498504043616,1.0115013575418363
theta[1],0.004600720222406872,8.623476676775378e-05,0.0013192841525558234,0.0021402707473502083,0.003657562101921266,0.0045630599635269505,0.00546616130839774,0.007351293087281627,234.051756695858,1.0188786642360692
theta[2],0.04819856193081093,0.0005604954354200428,0.009131654656124933,0.03209306288754328,0.04134233860178496,0.0480909786321645,0.05427734949580808,0.06659991253992562,265.4329277666041,1.0097541914641999
theta[3],0.04874236858278888,0.0006228536145381739,0.009641885486672054,0.031813926183767195,0.04218189465550663,0.048250744614547134,0.05423109855678583,0.06986259080514946,239.63594400071148,1.0172798642776817
theta[4],0.6235916447571026,0.019477553340483674,0.2516396330466951,0.20962947021122097,0.4467582578554216,0.6013405282635804,0.7872497030173756,1.1944162723519645,166.91266129102263,1.010092809552569
theta[5],0.01732869280440358,0.00044114713791876855,0.008070860505322365,0.004458803527805515,0.011299055784704866,0.016257130289333056,0.022679170156828556,0.03540830051919542,334.71313103965736,1.006070212651589
theta[6],0.08983162091162575,0.0011571748062518112,0.020064232579133374,0.05375884445518919,0.07624650052285192,0.08860771283442942,0.10199096890628892,0.13317384480766387,300.64028009467114,1.0212601887281023
theta[7],0.005963403831641655,9.601280484095708e-05,0.0016638697456142877,0.0026294461829649207,0.00485423287446729,0.005965348708402306,0.007108272703741917,0.009220125532638283,300.31728973785243,1.0046678799839275
theta[8],0.23728778537268957,0.0076003809297009155,0.16237922289699985,0.010054504955620446,0.10700026775221524,0.211925030597028,0.3357302783589523,0.609915821127003,456.44683301999345,1.009397067159133
theta[9],0.03322861957893225,0.00026943647853100997,0.004271038569095596,0.02506159907721034,0.030405421049059488,0.03297524693878147,0.03596117499848189,0.04193445903392,251.27784516372552,1.0047938771525218
theta[10],1.8641057578920504,0.069434041177326,0.9810352377812467,0.37882860942982305,1.1086790382585114,1.7292425663182107,2.48556635743629,4.06386128682489,199.62932064540988,1.011244682200251
theta[11],0.32315489895038024,0.006154123331561741,0.0946805388820593,0.14457731560215814,0.2603858172852471,0.3192044481085794,0.3816129823545594,0.5158390906598427,236.694982206005,1.020616091544793
theta[12],0.13500009113715014,0.002478718444133025,0.03171597599703012,0.08195976733499287,0.1113740878845898,0.1327011293615045,0.15557229378203238,0.20005716391722592,163.7200106660171,1.0200748487919196
theta[13],0.24282600466140106,0.005347970010831656,0.06709034193118073,0.143838176172282,0.19134018891267252,0.23049172858691303,0.2840615771435395,0.39331845941786236,157.37729778876772,1.0201865434026425
theta[14],0.23254523221389717,0.0013815017285316133,0.019489141679154737,0.19644114213719044,0.2190591261078453,0.23230997021130245,0.2452447670673601,0.27180907644053487,199.0135103974828,1.0215573170669126
theta[15],8.720639848856873,0.06527637746377726,0.8040809827532839,7.308799587344317,8.14794233314285,8.675050806692452,9.233555895479768,10.487198827542255,151.73560176932838,1.0216458173955634
theta[16],0.016336110594300828,0.00042512024480301393,0.01019555728547215,0.0014319858809534606,0.008250364192166475,0.015053598622102118,0.02260425232847409,0.03953406885102054,575.1728317384326,0.9986475109550758
lp__,329.4410222979322,0.1454278390453849,2.966244410406751,323.18869560821395,327.5463090964231,329.67164938669646,331.62206271333054,334.43045841608466,416.0243626813907,1.0003276348193681
