# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=19
# stan_version_patch=1
# init=random
# enable_random_init=0
# seed=1436958728
# chain_id=2
# iter=1000
# warmup=500
# save_warmup=1
# thin=1
# refresh=100
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=result/calcium-model-100-root-5106-const-Be-eta1/cell-5118/chain_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,sigma,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16
-326683,1,0.000976562,1,1,0,1.11623e+06,0.347628,0.173611,2.49203,0.911201,0.358336,0.636947,1.96007,0.515614,2.27044,0.147749,1.53983,5.33451,3.63054,0.136224,2.94239,6.53296,0.288182
-326683,0,14.3855,0,1,1,326686,0.347628,0.173611,2.49203,0.911201,0.358336,0.636947,1.96007,0.515614,2.27044,0.147749,1.53983,5.33451,3.63054,0.136224,2.94239,6.53296,0.288182
-326683,0,2.43117,0,1,1,326689,0.347628,0.173611,2.49203,0.911201,0.358336,0.636947,1.96007,0.515614,2.27044,0.147749,1.53983,5.33451,3.63054,0.136224,2.94239,6.53296,0.288182
-326683,0,0.239791,0,1,1,326694,0.347628,0.173611,2.49203,0.911201,0.358336,0.636947,1.96007,0.515614,2.27044,0.147749,1.53983,5.33451,3.63054,0.136224,2.94239,6.53296,0.288182
-326683,0,0.0186273,0,1,1,326688,0.347628,0.173611,2.49203,0.911201,0.358336,0.636947,1.96007,0.515614,2.27044,0.147749,1.53983,5.33451,3.63054,0.136224,2.94239,6.53296,0.288182
-111050,1,0.00130482,2,3,0,309526,0.347793,0.173234,1.99611,0.885812,0.359678,0.636692,1.91587,0.247094,2.26889,0.142466,1.53599,5.32246,2.99313,0.13671,1.47471,6.52369,0.286349
-59094.7,1,0.00189104,2,3,0,108145,0.347784,0.17441,1.48787,0.83096,0.36198,0.634599,1.8346,0.167632,2.27589,0.131922,1.52311,5.34605,2.27348,0.138126,1.00561,6.53368,0.284363
-27642.4,1,0.00305706,2,3,0,57129.6,0.350969,0.171701,0.98353,0.725909,0.362579,0.632225,1.66845,0.106118,2.27492,0.112062,1.52066,5.33074,1.53724,0.138796,0.651218,6.59088,0.278625
-21205.6,1,0.00530085,1,1,0,26896.6,0.35457,0.170937,0.852287,0.680886,0.360658,0.632451,1.56832,0.090488,2.26909,0.102774,1.51006,5.29145,1.31632,0.138296,0.571836,6.49525,0.278184
-11071.4,1,0.00961161,2,3,0,19001.1,0.353027,0.168714,0.592611,0.546815,0.360607,0.622797,1.32455,0.0631132,2.28757,0.0798943,1.49692,5.28967,0.937254,0.137299,0.41168,6.05087,0.268031
