,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
sigma,0.2648243774255135,0.0010964376948342939,0.017384215794967187,0.23216762719648582,0.2526738842064321,0.264071810860514,0.2758088653778818,0.30182096152928883,251.38669768104995,1.0040024538592165
theta[1],0.006732934554329155,0.00012957285625077796,0.002066677738295746,0.002846529206522427,0.005254142576261706,0.006644354047092634,0.008119283050366168,0.01084482855544633,254.40020575117993,1.0130480404849505
theta[2],0.05448658131576664,0.0004450326312052224,0.007843700209870613,0.04059816153061886,0.049098155349113964,0.05398357939658735,0.0593934095768202,0.07154223806111201,310.64063172303406,1.0066031684600998
theta[3],0.05164565968663246,0.0005143130136697603,0.007335481922627195,0.038207704008784954,0.046660239573332776,0.051358071384779824,0.05622274673043471,0.06751447571831037,203.424040162311,1.006348202754865
theta[4],2.926505309558183,0.06386640884117299,1.1948612512351802,0.9212284331983793,2.038337719177402,2.809451281402195,3.748897089590292,5.489105164711633,350.01766333777744,1.0080729467580845
theta[5],0.023439484965307764,0.0005349881076425228,0.010739301034259064,0.005278766441622803,0.01541240688269225,0.022434592672298553,0.030468350044632688,0.046017047679747874,402.96170587345426,1.0010517704611535
theta[6],0.10168540716926103,0.0008563636345376752,0.01668882644137963,0.07205938587639618,0.08992813473106324,0.1005278237790651,0.11273199165728956,0.13541255312622455,379.78268704346715,1.0166704723049762
theta[7],0.006543843443312238,7.142889475657854e-05,0.001344977348645548,0.003946265786138711,0.005647219390383575,0.0065192979071195,0.007467887732312452,0.009231359850173907,354.5537475527932,1.0095031076596812
theta[8],1.4919427865153927,0.014925492695223396,0.28672487824025594,0.9046092911256856,1.2916158705943062,1.5016062811388693,1.697142112791652,2.0321871747886324,369.0399659226849,1.011181174452729
theta[9],0.0014913987599181279,5.378382708391576e-05,0.0009506808938781142,0.0001794469732598335,0.0007833669107853669,0.0013222711202993582,0.0020250726629225057,0.003832724852005643,312.4396392827067,1.0153377254282536
theta[10],2.4599284638455137,0.06736604158377035,1.189075650536908,0.45006736126258784,1.6197514938485138,2.345896281133431,3.1553138235890263,5.213092384253104,311.5565698085825,1.0153434437633921
theta[11],3.212758134937543,0.025419423620055524,0.47293289899000807,2.3224846510256496,2.8853628364961574,3.2121783408751594,3.5218976427091917,4.182688742847763,346.15264531046375,1.011267340734641
theta[12],0.13050851267688146,0.0012179956679271107,0.02041241453512354,0.0924051903486389,0.11594331775451318,0.1305994119358943,0.14342293407630546,0.1732380619059266,280.86477272670606,1.0049531585424842
theta[13],0.24499296601359616,0.002388594472814356,0.039590767404893,0.17766606513315145,0.21714736359930162,0.24046812923584693,0.270743482457774,0.3315400146396391,274.7280438632464,1.0053817404681191
theta[14],0.1636777538188183,0.00038551197048063813,0.007058189215352557,0.15003268544191026,0.15865096563504705,0.1636360334736709,0.1686392647608742,0.1775417970462131,335.20528537881484,1.0028776749084114
theta[15],4.984853609534568,0.014649742761517804,0.25644781056977,4.474428306871976,4.8179556287517595,4.983603070684996,5.151228968817422,5.482297923159914,306.43473611191354,1.0229406299282102
theta[16],0.029341006326841352,0.00033602157458649865,0.0053369726502587615,0.018551506920347495,0.02577398980367581,0.029552142223915973,0.03286367614601051,0.03951875816689593,252.2642041786242,1.0099994786291282
lp__,67.50195276292055,0.16878118455530886,3.1566313547791878,60.24178454268389,65.65950018951393,67.96871536803951,69.80131736032502,72.37509238312413,349.7837834133365,1.0193112567928613
