# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=19
# stan_version_patch=1
# init=random
# enable_random_init=0
# seed=216194420
# chain_id=1
# iter=1000
# warmup=500
# save_warmup=1
# thin=1
# refresh=100
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=result/calcium-model-100-root-5106-const-Be-eta1/cell-4936/chain_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,sigma,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16
-192838,1,0.00195312,1,1,0,494146,0.942013,0.816886,3.44284,0.409136,5.9993,0.781624,1.07173,0.422322,0.200022,0.429901,2.33329,3.16112,0.855892,3.03111,0.451439,0.17553,0.507776
-192838,0,14.3855,0,1,1,192845,0.942013,0.816886,3.44284,0.409136,5.9993,0.781624,1.07173,0.422322,0.200022,0.429901,2.33329,3.16112,0.855892,3.03111,0.451439,0.17553,0.507776
-192838,0,2.43117,0,1,1,192848,0.942013,0.816886,3.44284,0.409136,5.9993,0.781624,1.07173,0.422322,0.200022,0.429901,2.33329,3.16112,0.855892,3.03111,0.451439,0.17553,0.507776
-192838,0,0.239791,0,1,1,192846,0.942013,0.816886,3.44284,0.409136,5.9993,0.781624,1.07173,0.422322,0.200022,0.429901,2.33329,3.16112,0.855892,3.03111,0.451439,0.17553,0.507776
-192838,0,0.0186273,0,1,1,192849,0.942013,0.816886,3.44284,0.409136,5.9993,0.781624,1.07173,0.422322,0.200022,0.429901,2.33329,3.16112,0.855892,3.03111,0.451439,0.17553,0.507776
-62778.4,1,0.00130482,3,7,0,188443,0.947077,0.455519,1.87593,0.404604,5.98564,0.761925,1.05532,0.233804,0.199406,0.235626,2.34134,3.15712,0.846278,2.97267,0.444228,0.175196,0.481171
-44639.9,1,0.00189104,2,3,0,62116.1,0.94659,0.374842,1.55247,0.398859,6.00224,0.743717,1.04377,0.194054,0.199641,0.194936,2.33301,3.1663,0.840766,2.91315,0.436519,0.175761,0.458058
-25474.8,1,0.00305706,3,7,0,43630.6,0.941138,0.269306,1.11847,0.393495,6.05518,0.700303,1.00465,0.139609,0.19931,0.140783,2.34621,3.18472,0.817346,2.80861,0.417924,0.17591,0.413626
-11834.7,1,0.00530085,2,3,0,24597.6,0.922356,0.166521,0.69065,0.370754,5.97017,0.612084,0.905916,0.0863733,0.198992,0.0873618,2.36489,3.19519,0.765959,2.53485,0.37892,0.176917,0.326101
-4674.11,1,0.00961161,3,7,0,11343,0.940406,0.0923144,0.393969,0.304504,5.96449,0.439993,0.693103,0.0482543,0.201525,0.0510897,2.35862,3.15449,0.645655,1.97531,0.301019,0.178965,0.210492
