# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=19
# stan_version_patch=1
# init=random
# enable_random_init=0
# seed=2009838379
# chain_id=3
# iter=1000
# warmup=500
# save_warmup=1
# thin=1
# refresh=100
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=result/calcium-model-100-root-5106-const-Be-eta1/cell-5026/chain_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,sigma,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16
-122605,1,0.00195312,1,1,0,370436,0.174868,0.571989,0.219408,2.31074,4.83903,0.249677,0.297008,0.401645,0.551775,1.5539,2.77807,1.39484,6.05628,4.44951,5.09149,0.143159,0.169359
-122605,0,14.3855,0,1,1,122613,0.174868,0.571989,0.219408,2.31074,4.83903,0.249677,0.297008,0.401645,0.551775,1.5539,2.77807,1.39484,6.05628,4.44951,5.09149,0.143159,0.169359
-122605,0,2.43117,0,1,1,122612,0.174868,0.571989,0.219408,2.31074,4.83903,0.249677,0.297008,0.401645,0.551775,1.5539,2.77807,1.39484,6.05628,4.44951,5.09149,0.143159,0.169359
-122605,0,0.239791,0,1,1,122611,0.174868,0.571989,0.219408,2.31074,4.83903,0.249677,0.297008,0.401645,0.551775,1.5539,2.77807,1.39484,6.05628,4.44951,5.09149,0.143159,0.169359
-122605,0,0.0186273,0,1,1,122616,0.174868,0.571989,0.219408,2.31074,4.83903,0.249677,0.297008,0.401645,0.551775,1.5539,2.77807,1.39484,6.05628,4.44951,5.09149,0.143159,0.169359
-89527,1,0.00130482,2,3,0,121352,0.182096,0.440651,0.218553,2.13104,4.82751,0.24925,0.296058,0.370253,0.548453,1.29636,2.76392,1.39211,5.76026,4.42399,4.62853,0.143348,0.169799
-79883.9,1,0.00189104,1,1,0,88940.4,0.185648,0.403825,0.218592,2.05565,4.82605,0.248745,0.295808,0.357004,0.548126,1.2081,2.76313,1.39399,5.61563,4.39864,4.4248,0.143023,0.169751
-61995.7,1,0.00305706,1,1,0,77756.1,0.195207,0.33333,0.217366,1.87826,4.83128,0.249515,0.294505,0.324926,0.551252,1.02887,2.77305,1.39409,5.29719,4.34021,4.00138,0.142461,0.170268
-35746.4,1,0.00530085,1,1,0,56750.1,0.223281,0.225558,0.217479,1.49649,4.78482,0.246725,0.296119,0.258216,0.55141,0.725506,2.77178,1.39053,4.4803,4.2197,3.09543,0.14185,0.17026
-13645.6,1,0.00961161,2,3,0,30019.8,0.306138,0.1275,0.21655,0.932013,4.67484,0.23894,0.298371,0.157414,0.548501,0.406011,2.77911,1.38667,3.03374,3.86993,1.92831,0.140096,0.171149
-4099.82,1,0.0179176,1,1,0,10995.9,0.560977,0.0675981,0.213775,0.497205,4.57016,0.228564,0.300683,0.0842728,0.561561,0.226731,2.772,1.37014,1.63491,3.14269,1.05401,0.14424,0.167251
-1336.48,1,0.0339435,2,3,0,3306.13,0.942218,0.0390391,0.190875,0.268267,4.47372,0.190389,0.297345,0.0444208,0.563118,0.122782,2.76881,1.39754,0.861741,1.97238,0.599796,0.153315,0.157329
-480.314,1,0.0648221,2,3,0,1104.17,1.29986,0.0184568,0.139765,0.15671,3.24443,0.107966,0.263422,0.0270938,0.563375,0.0786379,3.23104,1.18395,0.458168,0.902088,0.340412,0.166197,0.136364
-241.763,1,0.124086,2,3,0,423.259,1.29948,0.0100138,0.0674625,0.103631,2.37744,0.0649149,0.202974,0.0129404,0.535596,0.0412275,3.02662,0.764742,0.234352,0.563577,0.205001,0.182673,0.0803935
-241.763,0,0.237148,0,1,1,247.904,1.29948,0.0100138,0.0674625,0.103631,2.37744,0.0649149,0.202974,0.0129404,0.535596,0.0412275,3.02662,0.764742,0.234352,0.563577,0.205001,0.182673,0.0803935
-221.683,1,0.0203599,4,15,0,252.865,1.19308,0.00769359,0.0647486,0.0736849,2.03512,0.0701105,0.182333,0.0121243,0.702757,0.0447366,3.11879,0.759721,0.204219,0.481569,0.236111,0.201125,0.0592828
-190.284,0.991578,0.0393257,4,15,0,229.798,1.17046,0.00635461,0.0434168,0.0528249,0.976589,0.0258757,0.0966318,0.0109112,0.605964,0.0469977,1.52114,0.466658,0.176094,0.291882,0.164527,0.18617,0.0431332
-131.006,0.871651,0.0735507,4,15,0,172.513,0.607467,0.00272101,0.0487301,0.0381115,0.359988,0.0309639,0.094252,0.00370879,0.360023,0.0462519,2.63569,0.233298,0.0519975,0.164382,0.00914493,3.11618,0.0368532
-131.006,4.6573e-25,0.0949379,4,15,0,136.634,0.607467,0.00272101,0.0487301,0.0381115,0.359988,0.0309639,0.094252,0.00370879,0.360023,0.0462519,2.63569,0.233298,0.0519975,0.164382,0.00914493,3.11618,0.0368532
-122.969,0.932261,0.00889677,7,255,0,142.716,0.674311,0.00350039,0.0608,0.065236,0.407988,0.0132979,0.117116,0.00455666,0.328759,0.0369181,1.81905,0.401658,0.0227707,0.0589751,0.0087148,2.53903,0.0340115
-103.014,0.954735,0.0139819,5,39,0,128.399,0.695489,0.0029882,0.0527457,0.054717,0.353305,0.0142914,0.137178,0.00555741,0.357758,0.0393423,1.87465,0.449911,0.0278334,0.0666026,0.00752892,4.64025,0.0295236
-92.9611,0.0405673,0.0233403,9,511,0,113.054,0.681412,0.00586731,0.0360332,0.0557223,0.262086,0.018553,0.110972,0.00877178,0.454215,0.0389928,1.00252,0.591707,0.0178143,0.0696972,0.00771603,6.39324,0.0257354
-0.986671,0.910731,0.00265149,8,255,0,99.6765,0.381846,0.00857043,0.0522598,0.0843125,0.300251,0.0115281,0.0982556,0.00795203,0.657122,0.0355926,0.611844,0.4198,0.01064,0.0293748,0.0177852,6.69223,0.0289922
36.5188,0.955852,0.00392374,8,255,0,12.611,0.287401,0.00391415,0.075801,0.0939237,1.98228,0.0123473,0.126651,0.00754226,0.362217,0.0366726,1.07105,0.170968,0.037416,0.131146,0.0488342,9.2364,0.0457788
39.3231,0.291415,0.00657403,2,7,0,-32.6597,0.287452,0.00391513,0.0754819,0.0943097,1.96203,0.0123475,0.125958,0.00759187,0.363129,0.0365774,1.06375,0.170965,0.0375132,0.131043,0.0494337,9.21476,0.045662
43.6717,0.970282,0.00163656,8,511,0,-32.4467,0.290925,0.00404278,0.0842395,0.0881628,2.01195,0.0135006,0.111254,0.00831455,0.359056,0.0415852,1.03344,0.173693,0.0381146,0.127217,0.0531009,9.23692,0.04413
62.1297,0.928866,0.0028556,7,168,1,-28.3863,0.285655,0.00328239,0.0883893,0.0592912,1.76337,0.0150754,0.100212,0.00639538,0.382723,0.0215651,1.16969,0.128514,0.0462307,0.147624,0.0715591,9.70856,0.0372625
