,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
sigma,0.03851863173146252,7.543348658289856e-05,0.002097747096677928,0.03467081392209712,0.03701255435420704,0.03838807068105039,0.03993710199365305,0.04280280802011863,773.353213169464,1.0011958596756907
theta[1],0.006646010733279335,0.00026945382356442283,0.0031355980940119934,0.0019347298620100341,0.004420471666816575,0.006128807377440319,0.00842000864624362,0.014332988743822304,135.41665513933089,1.0447936993971845
theta[2],0.039357020436538555,0.0005349606800983573,0.010169175439593859,0.022487115815855923,0.031888363066848925,0.03837293406025794,0.04571495701004351,0.06178859911282097,361.34974714174115,1.017728910545844
theta[3],0.04184634283948207,0.00044786877135891026,0.009800753697864156,0.024055865596827708,0.034922256278022284,0.04135381743501528,0.04833643405283851,0.06206403182077106,478.8697321213886,0.9995309052310606
theta[4],1.239671062706631,0.03898111758712874,0.7744668669111499,0.16172449926072646,0.6313889007445349,1.1122802491770991,1.6829226050048236,3.04109443229999,394.7272535416355,1.0215800320834247
theta[5],0.3255254400607025,0.004093487193968856,0.12390359822801245,0.11362651977323682,0.235907423596253,0.3166773812433254,0.40384520383579947,0.5983087381987137,916.1803338457463,1.0028422211783081
theta[6],0.08618542313787791,0.0015504433451372615,0.026977673859579866,0.038099259588767295,0.0666462824150512,0.08499020121583062,0.1031840395210739,0.14346586956688015,302.7590944312221,1.0103565372565322
theta[7],0.004244460881002616,8.000309745994808e-05,0.0013189072877084725,0.0013244752236326583,0.003429298913469579,0.0042821216054730465,0.005157987206978043,0.0066471710774711,271.7783967705011,1.0044529347474356
theta[8],0.4068274134075669,0.006331042722010704,0.15386576190935952,0.11693319672851141,0.2980892929573361,0.4093866786916504,0.5114974040696262,0.7038298246645569,590.6544701349799,1.0029833888669106
theta[9],0.12536285389627935,0.001953148298191875,0.038077949148405774,0.05906203194209793,0.09836741642645183,0.12217438205120737,0.149865122183035,0.20540240967130446,380.0814375343721,1.008061038473603
theta[10],0.21668584289021062,0.00486866442934958,0.10370866744722278,0.03259667942021422,0.14129226258843217,0.208798918185054,0.28597795914626367,0.42617335954992286,453.7435076986496,1.0071729727408598
theta[11],0.09244649261306216,0.0032442187842536166,0.06695596247628705,0.0038660751173915974,0.03823685623366921,0.08084043814647426,0.13526482643594961,0.2540480323640849,425.94963014928294,1.005014672917238
theta[12],0.09731150106483498,0.0014954738698728961,0.026680707879860273,0.052653871408606515,0.07815060531569915,0.09417772563518448,0.11474425224714369,0.15534093741324623,318.3002924204949,1.0146000087864313
theta[13],2.3770888153350063,0.04096588251472804,0.7078853979849465,1.1480564548361527,1.8827836936003592,2.2870713698888308,2.8090293930477723,3.989961389183716,298.5941381123491,1.0181154009812219
theta[14],0.7223855712494018,0.007040686523743144,0.14901446956092326,0.44273064090688335,0.6221043949159151,0.7168161919087033,0.825313353129508,1.0208155660967573,447.9472405139825,1.0080590577006379
theta[15],4.541749869873121,0.010739012042897112,0.17369718743711393,4.258309101174179,4.421237545302071,4.5221499524784665,4.641050309454084,4.938714138932549,261.6115498740935,1.0122144046685657
theta[16],0.008895222147453207,0.00019305973264513953,0.006142980891659102,0.0005811524758670028,0.004142611385572766,0.007886953594362794,0.012651954737584006,0.023432012397513757,1012.4531314255432,1.0005270612714652
lp__,420.8219651523102,0.1600438983921343,3.1158406147912836,413.634725044363,419.0043591808354,421.1932912075439,423.0739191055834,425.93754976829564,379.02881268064664,1.0173295710518573
