# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=19
# stan_version_patch=1
# init=random
# enable_random_init=0
# seed=343491216
# chain_id=1
# iter=1000
# warmup=500
# save_warmup=1
# thin=1
# refresh=100
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=result/calcium-model-100-root-5106-const-Be-eta1/cell-5078/chain_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,sigma,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16
-131573,1,0.00195312,3,7,0,364603,0.213595,0.185318,0.16837,1.22527,1.62622,0.443182,3.37375,0.290347,0.268683,0.249899,5.26127,4.27999,0.703254,0.501023,1.04959,1.91053,1.96577
-131573,0,14.3855,0,1,1,131579,0.213595,0.185318,0.16837,1.22527,1.62622,0.443182,3.37375,0.290347,0.268683,0.249899,5.26127,4.27999,0.703254,0.501023,1.04959,1.91053,1.96577
-131573,0,2.43117,0,1,1,131581,0.213595,0.185318,0.16837,1.22527,1.62622,0.443182,3.37375,0.290347,0.268683,0.249899,5.26127,4.27999,0.703254,0.501023,1.04959,1.91053,1.96577
-131573,0,0.239791,0,1,1,131576,0.213595,0.185318,0.16837,1.22527,1.62622,0.443182,3.37375,0.290347,0.268683,0.249899,5.26127,4.27999,0.703254,0.501023,1.04959,1.91053,1.96577
-131573,0,0.0186273,0,1,1,131580,0.213595,0.185318,0.16837,1.22527,1.62622,0.443182,3.37375,0.290347,0.268683,0.249899,5.26127,4.27999,0.703254,0.501023,1.04959,1.91053,1.96577
-93061.6,1,0.00130482,2,3,0,130107,0.215584,0.169663,0.16771,1.09518,1.62666,0.440718,2.87733,0.225806,0.268793,0.204773,5.24093,4.2805,0.700559,0.501842,1.03995,1.90528,1.90621
-58441.8,1,0.00189104,2,3,0,91476.7,0.220592,0.145466,0.167225,0.90285,1.62064,0.435151,2.27661,0.164965,0.269634,0.155141,5.2534,4.27292,0.702195,0.50747,1.0234,1.92576,1.79241
-29919.2,1,0.00305706,2,3,0,56792.4,0.230885,0.109548,0.164932,0.659304,1.63691,0.426992,1.58294,0.107543,0.267124,0.103957,5.23577,4.24579,0.703723,0.508134,0.988248,1.9768,1.55929
-12244.3,1,0.00530085,2,3,0,28723.8,0.265802,0.0699622,0.160317,0.411757,1.61782,0.396412,0.959289,0.0637541,0.267403,0.0620316,5.22902,4.24641,0.685488,0.521686,0.888888,2.09553,1.16454
-8951.67,1,0.00961161,1,1,0,11813.3,0.283018,0.0592429,0.158236,0.352842,1.6003,0.374713,0.809677,0.0533664,0.269561,0.0523669,5.2796,4.26416,0.687845,0.524394,0.838403,2.22637,1.01983
-3941.46,1,0.0179176,1,1,0,7761.1,0.352187,0.0388154,0.149708,0.240812,1.60321,0.312015,0.532494,0.0345815,0.271405,0.0343414,5.40725,4.17259,0.693379,0.547694,0.698522,2.72017,0.705411
-1080.32,1,0.0339435,2,3,0,3052.62,0.495882,0.02023,0.122876,0.124977,1.61886,0.215505,0.291846,0.0191204,0.269355,0.0185368,5.03023,4.08421,0.647025,0.587764,0.465854,4.11731,0.371404
-1080.32,1.72157e-165,0.0648221,2,5,1,1089.23,0.495882,0.02023,0.122876,0.124977,1.61886,0.215505,0.291846,0.0191204,0.269355,0.0185368,5.03023,4.08421,0.647025,0.587764,0.465854,4.11731,0.371404
-965.052,1,0.00539629,3,7,0,1084.08,0.492935,0.0193144,0.118962,0.121539,1.59089,0.205932,0.284554,0.0183,0.267267,0.0178805,4.87446,4.03802,0.632888,0.573122,0.461844,3.8483,0.351846
-820.386,1,0.0104922,2,3,0,976.403,0.495969,0.017314,0.115314,0.11174,1.64966,0.193773,0.273682,0.0176961,0.260255,0.0161811,4.81143,3.94216,0.635667,0.547236,0.46526,3.69552,0.319444
