,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
sigma,0.06475816348371599,0.00021336979874523197,0.004573527433174774,0.05655799094627552,0.06148984671227144,0.06457784898274234,0.06786093190583817,0.07418583806356663,459.4483346780223,1.0061507194582153
theta[1],0.005810583960768899,0.00012196456295483829,0.0022229396878047235,0.0018826188785897634,0.00417360625091778,0.005654162387546981,0.007273984629678478,0.01049000882968739,332.1911297528513,1.0013275258685805
theta[2],0.053907007528879065,0.00020617591610837247,0.004589625757072909,0.04548822863077501,0.050813628862247925,0.05374295660821994,0.05691233475572727,0.06343244465165761,495.5399610857316,1.0110296274097517
theta[3],0.052942925023120195,0.0002088353112236287,0.004532810723138829,0.04440465961136529,0.04975443555780176,0.05285061925475322,0.05586660844031166,0.06202930235619904,471.1154006343449,1.0104503884287226
theta[4],0.3221227777656204,0.00483136072780955,0.11736119996179256,0.10753825430143814,0.23554003530318035,0.3185373114597341,0.4006054881867962,0.5601506575126143,590.078991872594,1.0024981362677818
theta[5],0.04655737719417727,0.0007377081399504313,0.018547733163609626,0.015909686859732684,0.03254854832118096,0.04496911989131544,0.05848930572387702,0.08790834163691716,632.1389162430469,1.0032028245190212
theta[6],0.10019991763637168,0.00037489869489949973,0.009407197082460333,0.08272310414999895,0.09358342779230175,0.09969763413647298,0.10644612243056484,0.11980313848112756,629.6404610066511,1.004561939427949
theta[7],0.005020817793209277,5.149820981485314e-05,0.0012188421711277328,0.0025990575526774495,0.0041946538159835225,0.004986205065164109,0.005827434742694963,0.00743059145334889,560.1581764047365,1.0068771217647883
theta[8],4.145600046610667,0.03761410684453823,0.9690891964091205,2.1462210259903394,3.500874445857098,4.168727574337703,4.817937309512886,6.028119875859636,663.7828023610086,1.0000598559520748
theta[9],0.0031323517635315277,3.0850944468684126e-05,0.0008248821547950364,0.0016144715358406198,0.0025787792679931743,0.0030614291835530673,0.003653317141874431,0.004908691298045408,714.9026198582702,1.0016117259654294
theta[10],0.2842828045288005,0.009480532689730307,0.1939525987201375,0.022174408680292267,0.13799668152939157,0.24374986814563532,0.3915107630076966,0.7498550953001475,418.52916390512956,0.9998367059817185
theta[11],2.7187096702350884,0.009031177612108952,0.23510089862520012,2.266176265466308,2.555269286754081,2.7202870149284455,2.866074880808413,3.200744506285683,677.6724205645913,1.0058396488902233
theta[12],0.28625943971598483,0.0013834493593987854,0.02433483009756818,0.24263370936982756,0.26866402904080344,0.28491847689565597,0.3027243356140991,0.3362727007731313,309.4069777025169,1.011346695674145
theta[13],0.22231070000038056,0.0012719477696224882,0.022542138441537584,0.18122130838874007,0.20518439369820962,0.22218720027067396,0.23810006415788537,0.26702650577730436,314.08823501715665,1.0100046369669469
theta[14],0.25127690469434144,0.00043663265321244,0.009630095042137141,0.23302745685452392,0.24475711555683227,0.25090228449058505,0.25782067864090896,0.27058632421976986,486.4393783118465,1.004853009342673
theta[15],5.073122344654982,0.007826894689924986,0.15830239032357263,4.768458972821014,4.964106719800593,5.072140495183598,5.17737561895618,5.3830695814413545,409.0684303576224,1.0077705878634966
theta[16],0.011073469874136809,0.0001735936654476949,0.004318040207905249,0.0031353934772498007,0.007902848614520385,0.010984183223670257,0.014143878604276995,0.01955271265499521,618.736330209338,1.0039136462154754
lp__,273.37991037000694,0.13234270823210537,3.163503477147298,266.1114824311593,271.40159988607604,273.74931053572567,275.65875140064463,278.53694610898947,571.3952119852588,1.0016040544437719
