,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
sigma,0.10876289472726355,0.00018269011633534322,0.007199230275483652,0.09580890786519453,0.10372786034484954,0.10844805406870187,0.11352724471504798,0.12383266075106023,1552.8947641879058,1.001506212092579
theta[1],0.011625237808578848,9.337467882238676e-05,0.0034948364775995618,0.005313010100889521,0.00907169367252027,0.011588988970575146,0.01391672565735011,0.019114869703353392,1400.8623979761817,1.0036213953492514
theta[2],0.056989689495756495,0.00010764977988727031,0.004611061465523871,0.048387118155091904,0.053819674887446864,0.05687420649246258,0.060013011437550334,0.06691107525847713,1834.7442297131465,0.9992999641746911
theta[3],0.05685470627656857,0.00011810344909944159,0.004846130819900974,0.047687928500772164,0.05374257339972323,0.05658246988497448,0.059976038109900334,0.06693269307099353,1683.7015252198585,1.0000777946444062
theta[4],18.019665019455296,0.12575403748668706,4.8581758705698235,8.809543416353506,14.616604577911083,17.91948398413048,21.23554907716381,27.81652529291619,1492.4596219053358,1.0025513935587367
theta[5],0.2918691670124965,0.0031149451820446893,0.12583503422076986,0.07438226136316389,0.20273396805815158,0.2813043522065046,0.3759027732939325,0.5698387558197651,1631.9330081952846,1.0026164379652565
theta[6],0.11047622769136484,0.0002565842216989451,0.01141064640383013,0.08965534826772723,0.10253822966876021,0.10986941962929159,0.11776333869081285,0.13499282970777257,1977.7008585726676,0.9987202068013363
theta[7],0.005460109798420594,2.8988399085586878e-05,0.001308651487856981,0.003108085357892397,0.004561040104378947,0.005381906482444238,0.006324888966098505,0.008164938110290062,2037.978242859253,0.9983031031957251
theta[8],8.14408265607552,0.03484356308088636,1.5878598460490454,5.237341941607156,7.038356799385278,8.118812038979,9.152523215080809,11.505468419176626,2076.726066888533,1.00025808821182
theta[9],0.0005954218303642436,9.46221328849018e-06,0.00047579512132388117,2.4252785122158402e-05,0.00021473501122035523,0.0004935785083093182,0.0008492061010090357,0.0017814702942619775,2528.450772542193,0.9990246687910496
theta[10],7.210974131980036,0.08190247424290427,3.601784888191367,1.6278230063488022,4.4780283642674465,6.771240092366364,9.488921086651347,15.279966065338073,1933.9333358009599,0.9999508732129903
theta[11],3.4465272960217397,0.00905790381264586,0.41305955091839863,2.6489271580160185,3.166146796170933,3.437009869666639,3.7066009926032164,4.301426037355457,2079.552687016692,0.9999455135435931
theta[12],0.2536378091355993,0.0005129804523480755,0.017652991007422705,0.21906500973635887,0.24208396684838124,0.25316378944486756,0.26547983132006386,0.2896928221897259,1184.2270243973005,1.0047029129324303
theta[13],0.18165238195478894,0.0004464539848277788,0.014435218791290628,0.15447572737599308,0.1714422068169279,0.1813443329113133,0.19106782782547016,0.2110136150715019,1045.4260900247525,1.0057237228611666
theta[14],0.127247722674242,0.00010240721084527723,0.004322573913238813,0.11909959241622027,0.12430297570800666,0.1270909125574956,0.130320908626871,0.1356005056450008,1781.6556956570055,1.0003906657568262
theta[15],3.8831226658163636,0.0032538397741981,0.11323848649601607,3.6765072291462424,3.8060376775450555,3.8796907041614834,3.9545579653186635,4.127486842215033,1211.1440085322256,1.0030259256588139
theta[16],0.030532818320135532,0.00022893557779685405,0.009871684881445639,0.012089969870426738,0.023264985437097513,0.030276169136708216,0.03738751516163005,0.05036988605906202,1859.3279082787085,0.9995150657961566
lp__,229.5749448479378,0.13126428832577397,3.134350364239051,222.69369249303355,227.61673410117643,229.92578102632456,231.81160544749687,234.73852626515233,570.1667743138206,1.0009110552454197
