# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=19
# stan_version_patch=1
# init=random
# enable_random_init=0
# seed=1236211656
# chain_id=0
# iter=1000
# warmup=500
# save_warmup=1
# thin=1
# refresh=100
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=result/calcium-model-100-root-5106-const-Be-eta1/cell-5072/chain_0.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,sigma,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16
-120839,1,0.000976562,1,1,0,1.35462e+06,2.25594,0.408283,0.841876,0.964316,0.333103,0.559651,0.795812,1.04346,1.65944,0.151977,4.50349,0.258697,1.06147,0.225699,0.906295,0.57397,0.15611
-120839,0,14.3855,0,1,1,120846,2.25594,0.408283,0.841876,0.964316,0.333103,0.559651,0.795812,1.04346,1.65944,0.151977,4.50349,0.258697,1.06147,0.225699,0.906295,0.57397,0.15611
-120839,0,2.43117,0,1,1,120850,2.25594,0.408283,0.841876,0.964316,0.333103,0.559651,0.795812,1.04346,1.65944,0.151977,4.50349,0.258697,1.06147,0.225699,0.906295,0.57397,0.15611
-120839,0,0.239791,0,1,1,120848,2.25594,0.408283,0.841876,0.964316,0.333103,0.559651,0.795812,1.04346,1.65944,0.151977,4.50349,0.258697,1.06147,0.225699,0.906295,0.57397,0.15611
-120839,0,0.0186273,0,1,1,120843,2.25594,0.408283,0.841876,0.964316,0.333103,0.559651,0.795812,1.04346,1.65944,0.151977,4.50349,0.258697,1.06147,0.225699,0.906295,0.57397,0.15611
-63826.2,1,0.00130482,2,3,0,117161,2.24744,0.397955,0.81579,0.924627,0.331927,0.562573,0.789936,0.636212,1.65691,0.142227,4.49272,0.259158,1.05133,0.225505,0.818619,0.573742,0.156249
-40189.2,1,0.00189104,2,3,0,62607.5,2.23714,0.381545,0.770582,0.855543,0.333054,0.559236,0.78001,0.430467,1.65675,0.126197,4.49133,0.259661,1.04331,0.226606,0.686939,0.575296,0.155598
-34162.4,1,0.00305706,1,1,0,39673.2,2.24546,0.370288,0.745346,0.81827,0.332804,0.555151,0.777023,0.379549,1.65402,0.118983,4.48614,0.25799,1.03091,0.226934,0.631123,0.573369,0.155404
-10514.5,1,0.00530085,4,15,0,32210.8,2.2254,0.273161,0.528937,0.529672,0.336335,0.557827,0.733952,0.148213,1.65767,0.0695072,4.46459,0.263519,0.928847,0.223726,0.32133,0.583688,0.153784
-3719.18,1,0.00961161,2,3,0,10026.2,2.23734,0.161241,0.31108,0.319599,0.329634,0.538892,0.615723,0.086147,1.65853,0.0384695,4.49125,0.260492,0.727118,0.222182,0.19941,0.599706,0.14864
-1224.04,1,0.0179176,10,1023,0,3525.12,2.0932,0.0899875,0.174196,0.17653,0.330015,0.546332,0.417049,0.0479819,1.65361,0.0208074,4.43421,0.259716,0.464968,0.219242,0.118071,0.60982,0.131394
