# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=19
# stan_version_patch=1
# init=random
# enable_random_init=0
# seed=1741107268
# chain_id=3
# iter=1000
# warmup=500
# save_warmup=1
# thin=1
# refresh=100
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=result/calcium-model-100-root-5106-const-Be-eta1/cell-5103/chain_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,sigma,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16
184.848,0.849505,0.00178438,7,127,0,-142.657,0.0919288,0.0233286,0.0293661,0.0448861,4.93389,0.870364,0.123112,0.00422551,0.451545,0.004236,1.77788,4.98234,0.170543,0.158615,0.114147,5.25273,0.0572801
184.848,0.004965,0.00221273,3,8,1,-173.789,0.0919288,0.0233286,0.0293661,0.0448861,4.93389,0.870364,0.123112,0.00422551,0.451545,0.004236,1.77788,4.98234,0.170543,0.158615,0.114147,5.25273,0.0572801
197.802,0.997968,0.000250023,8,255,0,-180.324,0.101611,0.0239653,0.0299578,0.0446821,4.97027,0.914905,0.124082,0.00433726,0.450914,0.00434531,1.77114,4.933,0.160888,0.164038,0.112587,5.29245,0.0581756
202.772,0.994263,0.000477033,9,511,0,-188.992,0.13101,0.0300268,0.0373293,0.0535403,5.06135,0.980199,0.136056,0.00463699,0.397222,0.00422294,1.72757,4.58254,0.122063,0.179647,0.101336,5.53658,0.0464714
214.309,0.942302,0.000891295,9,511,0,-195.79,0.128691,0.0229067,0.0538353,0.0486612,6.61284,0.89699,0.0904745,0.00323375,0.40341,0.00453229,2.00307,3.64163,0.107497,0.201246,0.0984621,5.44396,0.04348
225.194,0.989115,0.00142788,9,511,0,-207.787,0.116131,0.0189514,0.0512059,0.0639691,8.95849,0.547758,0.0613969,0.00336299,0.335134,0.00724127,2.46721,3.76183,0.105625,0.237948,0.105129,5.18477,0.0218763
225.194,0.094388,0.00258022,1,3,0,-216.257,0.116131,0.0189514,0.0512059,0.0639691,8.95849,0.547758,0.0613969,0.00336299,0.335134,0.00724127,2.46721,3.76183,0.105625,0.237948,0.105129,5.18477,0.0218763
227.486,0.999623,0.000406456,10,1023,0,-213.953,0.0946871,0.0224705,0.0737409,0.056268,8.17344,0.654482,0.0492425,0.00438398,0.43767,0.00550451,2.29926,4.32224,0.119629,0.198701,0.107617,5.57891,0.0187009
234.185,0.973764,0.000755975,10,1023,0,-218.487,0.0948433,0.019326,0.0411809,0.0550703,16.6922,0.544648,0.142007,0.00394607,0.257214,0.00565381,2.71116,5.04268,0.0981849,0.230393,0.0989394,5.38622,0.0140744
237.248,0.914364,0.00129889,9,511,0,-229.551,0.106803,0.0179521,0.0585898,0.0506829,17.6856,0.543881,0.0830112,0.00351289,0.216265,0.00606068,3.31108,4.81994,0.110317,0.224119,0.107255,5.42317,0.0144136
237.248,0.0682735,0.00188983,2,5,1,-231.242,0.106803,0.0179521,0.0585898,0.0506829,17.6856,0.543881,0.0830112,0.00351289,0.216265,0.00606068,3.31108,4.81994,0.110317,0.224119,0.107255,5.42317,0.0144136
237.41,0.997963,0.000295422,10,1023,0,-230.828,0.093919,0.0160256,0.0481561,0.0564292,13.5542,0.504174,0.0915995,0.003463,0.201597,0.00527955,2.73561,4.34552,0.112121,0.210756,0.103714,5.46897,0.0112791
235.185,0.978855,0.000537449,10,1023,0,-226.932,0.104919,0.0156886,0.0470421,0.044877,12.3979,0.436273,0.133255,0.0022122,0.275585,0.00398101,2.8836,4.54578,0.124496,0.19371,0.0999237,5.2559,0.0114277
238.201,0.987306,0.000921713,10,1023,0,-226.952,0.103189,0.0171851,0.0542045,0.05448,12.9792,0.324147,0.101889,0.00141862,0.404689,0.0078235,4.8617,3.63694,0.107381,0.226413,0.101035,5.2359,0.0091035
239.372,0.299256,0.00160164,5,60,1,-229.801,0.10294,0.0171711,0.0541236,0.0542399,12.9608,0.323343,0.101458,0.00142087,0.404594,0.00779307,4.85302,3.64297,0.107891,0.224286,0.101075,5.23692,0.00908979
