,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
sigma,0.043357683052353733,0.003292600240885701,0.005213844842128728,0.032936096491263146,0.04024417067322342,0.04477153421067685,0.04694602011808047,0.05121556410653276,2.507484139186904,2.234639499849411
theta[1],0.003231405606667512,0.0005183732855322717,0.0013339406662925915,0.0010139532659222314,0.0022992556486590068,0.0030667274111151562,0.004001780910664577,0.006305460126444664,6.621979030942649,1.248721899594078
theta[2],0.05685347262252812,0.011695600300011445,0.02315187468123783,0.030653558660083492,0.04118918872916026,0.050213841901472905,0.06292338862291168,0.12012538927592567,3.9185671237073056,1.4856583515460604
theta[3],0.03616842876878075,0.014652882344694192,0.0223564934656579,0.00040468991335499343,0.010357807904564852,0.042949927186930845,0.05117194769830542,0.06874252864141314,2.327883538264322,2.694533973167129
theta[4],0.17418019479972327,0.0033370560563641518,0.06131083843735597,0.06168677827825359,0.1305177020169152,0.17306265626169332,0.21659193481974742,0.29762969280949597,337.55730145755297,1.008479671370135
theta[5],0.002737894246207394,0.0002061225389326503,0.001331657796576414,0.0005873595968526604,0.001720698948021912,0.0026229433650092524,0.003637859651843058,0.00555674240027587,41.738256695783384,1.0848307298393796
theta[6],0.09467816085972777,0.021877982520733513,0.039067636207735686,0.04553382140119887,0.06694325381895296,0.08258921407564881,0.11524137431643841,0.19097927477203752,3.188744539457785,1.682153566609646
theta[7],0.006328511477220456,0.0011451049386135292,0.0017936511157935168,0.0037387075477218,0.005018194188876507,0.005781079736819659,0.007861117960599948,0.009731810281588012,2.453496081262119,2.3008850997757464
theta[8],1.0095406075930862,0.18750752749156188,0.41537456505087045,0.4347496587027333,0.6128888320813373,0.9862440217796341,1.327857583937051,1.8278313525521885,4.907297469099467,1.3170582773352513
theta[9],0.0018400990179431357,0.0006269158713415962,0.0012043786272462264,4.3438195281565576e-05,0.000727972914883069,0.0018839189048041644,0.002747604599694082,0.00417505983571354,3.690689848877261,1.4974152139831345
theta[10],1.1895114690162232,0.06383153358796993,0.6874534189573769,0.21866111689768047,0.6550925095998249,1.078172049596181,1.6011406359413731,2.8436225259991628,115.98878388458665,1.0484059669871302
theta[11],1.4284219840705492,0.21175669991403637,0.3499513155746765,0.9261487205038246,1.160965702687771,1.335390353856866,1.6802416747779088,2.1616107093290813,2.7311209941333496,1.9374914672114414
theta[12],0.20143361197295298,0.008735876475892173,0.03567653534127123,0.13747053310207796,0.17697222711347782,0.19879947583127267,0.2247568109755514,0.27654571485728774,16.678322797888313,1.1231964232750635
theta[13],0.3750475497514937,0.010542126195855704,0.06944546071285757,0.2553505139947302,0.32538061946250485,0.3701754125687202,0.4180235229668666,0.5258852621248977,43.39416195334518,1.0649492284570896
theta[14],0.48707091254511475,0.03126533703935343,0.05535315939926445,0.39830012247689317,0.4461210053780912,0.47643854310117717,0.5267639826745243,0.5996780267632442,3.134430170373268,1.663523225879467
theta[15],7.137550522067155,0.17158487862553556,0.4115967772469365,6.421279921598167,6.840075626513272,7.112076974972468,7.409973609672265,8.010530048736975,5.754212651899247,1.257900195841942
theta[16],0.14232020115146773,0.037619501028296164,0.059813935558681426,0.0621686816591598,0.0962006607440096,0.12480242167739258,0.18596992368832627,0.2661558641216162,2.5280094620588764,2.1713516617516446
lp__,394.91858287009586,4.647743817264562,7.188783432592123,384.74179111747105,390.0272519791507,392.77972898606305,397.11671124794645,409.840797784359,2.392359474809952,2.4415489860657047
