# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=19
# stan_version_patch=1
# init=random
# enable_random_init=0
# seed=675434192
# chain_id=0
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# sample_file=result/calcium-model-const-Be-eta1/cell-5106/chain_0.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,sigma,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16
-850.064,1,0.03125,2,3,0,2944.88,2.56234,1.18193,0.837111,1.79926,1.33311,0.23258,0.897916,1.67931,1.87212,1.05009,1.64933,1.01197,1.9226,1.09647,0.220269,6.21064,1.17253
-850.064,0,14.3855,0,1,1,856.661,2.56234,1.18193,0.837111,1.79926,1.33311,0.23258,0.897916,1.67931,1.87212,1.05009,1.64933,1.01197,1.9226,1.09647,0.220269,6.21064,1.17253
-850.064,0,2.43117,0,1,1,858.611,2.56234,1.18193,0.837111,1.79926,1.33311,0.23258,0.897916,1.67931,1.87212,1.05009,1.64933,1.01197,1.9226,1.09647,0.220269,6.21064,1.17253
-850.064,0,0.239791,0,1,1,853.188,2.56234,1.18193,0.837111,1.79926,1.33311,0.23258,0.897916,1.67931,1.87212,1.05009,1.64933,1.01197,1.9226,1.09647,0.220269,6.21064,1.17253
-641.781,1,0.0186273,2,3,0,849.936,2.19959,1.28204,0.70332,1.75989,1.32667,0.239484,0.885086,1.62594,1.55757,1.03849,1.39993,0.94473,1.56183,1.19661,0.2137,6.22259,1.07644
-446.878,1,0.0257257,2,3,0,641.831,1.89231,1.1721,0.546291,1.87894,1.36602,0.22981,0.892141,1.59445,1.22192,1.05148,1.10575,0.823912,1.16196,1.12064,0.232816,5.43156,0.938739
-270.204,1,0.0404064,2,3,0,440.682,1.19485,1.19956,0.35949,2.06393,1.22216,0.229449,0.867709,1.5483,0.934984,1.10723,0.845263,0.709846,0.911848,1.12002,0.231603,4.28793,0.760016
-216.805,0.666667,0.0687243,2,3,0,271.138,0.891864,1.20186,0.284176,2.14172,1.12649,0.225499,0.866555,1.58722,0.782378,1.18905,0.777985,0.604473,0.862944,1.19067,0.237802,4.30157,0.63449
-156.057,1,0.0430774,4,15,0,220.567,0.781104,1.32055,0.0307769,1.97299,0.979107,0.297938,0.635447,1.08248,0.138425,1.21977,0.0367789,0.0727902,0.183118,12.826,0.131617,2.39287,0.092544
-144.962,0.285715,0.0789043,3,7,0,164.233,0.823163,1.5101,0.0281935,2.32741,1.00729,0.278126,0.636955,1.02278,0.124436,1.09576,0.0393277,0.0663275,0.178765,11.0596,0.148987,2.35192,0.0900142
-136.321,1,0.0154129,5,31,0,150.771,0.846138,1.68859,0.0199634,2.31498,0.802362,0.229058,0.637339,1.02864,0.0902727,1.00145,0.0625676,0.057559,0.345891,2.53294,0.149097,2.91711,0.112691
-134.112,0.825723,0.0292034,5,59,1,144.513,0.840145,2.71202,0.0140795,2.60484,0.711006,0.220119,1.1325,1.63773,0.0687543,1.35793,0.0696105,0.0617467,0.3036,8.73405,0.160514,2.59105,0.153952
-126.484,0.940786,0.0322287,5,31,0,143.298,0.771476,2.8247,0.00949601,2.10574,0.700481,0.332894,1.13159,2.06782,0.0582837,4.58743,0.0588298,0.0758762,0.233273,3.40369,0.247822,2.76245,0.0954766
-115.43,0.0946324,0.0513992,5,42,1,133.095,0.742751,2.86544,0.0284626,1.9524,2.08143,0.276415,1.47245,1.66614,0.132363,13.1289,0.138676,0.0689053,0.246914,5.91475,0.272299,2.68327,0.0649889
