# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=19
# stan_version_patch=1
# init=random
# enable_random_init=0
# seed=675434192
# chain_id=1
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# sample_file=result/calcium-model-const-Be-eta1/cell-5106/chain_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,sigma,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16
-1997.74,1,0.015625,1,1,0,4040.17,3.72147,5.62861,1.9738,0.643142,3.83333,1.9667,0.23876,0.314906,0.222463,0.292046,3.92073,0.896259,0.531575,0.174262,0.27786,1.93838,0.338678
-1997.74,0,14.3855,0,1,1,2005.14,3.72147,5.62861,1.9738,0.643142,3.83333,1.9667,0.23876,0.314906,0.222463,0.292046,3.92073,0.896259,0.531575,0.174262,0.27786,1.93838,0.338678
-1997.74,0,2.43117,0,1,1,2008.89,3.72147,5.62861,1.9738,0.643142,3.83333,1.9667,0.23876,0.314906,0.222463,0.292046,3.92073,0.896259,0.531575,0.174262,0.27786,1.93838,0.338678
-1997.74,0,0.239791,0,1,1,2007.08,3.72147,5.62861,1.9738,0.643142,3.83333,1.9667,0.23876,0.314906,0.222463,0.292046,3.92073,0.896259,0.531575,0.174262,0.27786,1.93838,0.338678
-1378.01,1,0.0186273,5,31,0,1892.54,3.76617,5.60895,1.52933,0.624951,3.99176,1.88841,0.242748,0.313093,0.222949,0.301232,3.0339,0.867035,0.530027,0.173325,0.274291,1.91344,0.327092
-977.124,1,0.0257257,1,1,0,1304.65,3.43402,5.82376,1.17799,0.623958,4.01131,1.75178,0.245849,0.306236,0.221026,0.30283,2.33989,0.863176,0.531247,0.165172,0.277275,1.97182,0.327986
-597.126,1,0.0404064,2,3,0,901.401,2.95292,6.06023,0.751087,0.657379,4.04667,1.3641,0.263028,0.319873,0.221641,0.306909,1.56013,0.814654,0.476975,0.163239,0.29825,1.84561,0.322768
-369.746,1,0.0687243,2,3,0,550.366,2.10705,6.16058,0.441503,0.614019,3.91557,0.972334,0.2372,0.289397,0.223787,0.31184,0.974402,0.609367,0.486671,0.165014,0.286427,2.0085,0.314381
-369.746,0.333333,0.122801,1,3,1,378.996,2.10705,6.16058,0.441503,0.614019,3.91557,0.972334,0.2372,0.289397,0.223787,0.31184,0.974402,0.609367,0.486671,0.165014,0.286427,2.0085,0.314381
-300.807,0.898486,0.027539,3,7,0,377.464,1.58673,6.34636,0.356326,0.615407,3.71125,0.8087,0.270711,0.336243,0.247018,0.330939,0.649614,0.536744,0.521532,0.187737,0.289852,1.94132,0.310976
-173.404,0.752673,0.0372951,3,7,0,301.558,1.05681,5.83417,0.168269,0.534619,3.17638,0.533405,0.225259,0.29295,0.240009,0.335397,0.45192,0.486757,0.452634,0.215771,0.233804,3.89629,0.391491
-97.2999,0.872976,0.0323209,3,7,0,177.468,0.511541,6.90015,0.136301,0.568803,2.40105,0.462074,0.185572,0.369474,0.441018,0.438243,0.39388,0.460929,0.296541,0.180942,0.169826,4.10246,0.296325
-64.9303,0.575757,0.0413796,3,7,0,106.153,0.593629,7.52831,0.0880097,0.735809,2.64799,0.367911,0.200615,0.518409,0.442904,0.550234,0.391865,0.486931,0.232813,0.148281,0.146609,4.30423,0.294446
-45.7264,0.521819,0.0209888,4,29,1,72.0886,0.35548,7.4068,0.100033,0.491592,2.35346,0.329058,0.213041,0.809243,0.426331,0.458826,0.404677,0.54308,0.207457,0.132472,0.143934,4.69385,0.253717
-27.201,0.994618,0.00911994,7,127,0,56.8903,0.35401,5.93567,0.116699,0.582936,1.30797,0.241417,0.131189,3.17407,0.362633,0.280962,0.391186,0.271945,0.132483,0.191515,0.153367,5.78753,0.128375
-28.4851,0.54563,0.0174197,5,61,1,36.1747,0.450036,6.0258,0.0963455,0.495787,1.2729,0.178274,0.145929,3.62639,0.347734,0.274334,0.340251,0.240593,0.143321,0.210194,0.15146,5.14443,0.113809
-12.8708,0.942341,0.00832225,7,127,0,32.6331,0.390751,6.45976,0.0780662,0.545245,0.578753,0.215893,0.173315,2.39358,0.401286,0.318983,0.377659,0.247042,0.106842,0.4348,0.297573,6.71534,0.135877
-12.7086,0.0925388,0.0135467,8,255,0,25.0768,0.361337,4.87865,0.0683098,0.4512,0.418136,0.189034,0.179979,2.71295,0.554799,0.273027,0.418635,0.201586,0.06779,0.603217,0.194061,4.95157,0.192159
-12.594,0.982253,0.00167104,10,1023,0,25.1653,0.403292,6.97108,0.0791955,0.327015,0.347247,0.314358,0.411673,1.94815,0.627551,0.547243,0.191628,0.317926,0.108623,0.87797,0.438335,5.46371,0.0637748
-4.99859,0.926169,0.00309913,8,362,1,22.9428,0.287962,6.19685,0.0913926,0.220956,0.157083,0.182454,0.297329,1.38852,0.841424,0.390349,0.309448,0.420213,0.0690968,1.27478,0.534554,7.1124,0.0671175
7.91847,0.742262,0.00482448,7,127,0,16.5412,0.327429,7.41617,0.17813,0.13237,0.153629,0.174631,0.115733,1.48171,0.735946,0.467514,0.346142,0.29346,0.0553967,1.39103,0.514314,6.95346,0.12306
19.5852,0.888862,0.00433551,7,210,1,-0.0680694,0.265604,8.34744,0.155733,0.142714,0.10155,0.130323,0.0998605,1.27251,0.758635,0.395457,0.390501,0.287321,0.0735394,1.22424,0.522623,6.48373,0.131873
