# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=19
# stan_version_patch=1
# init=random
# enable_random_init=0
# seed=675434192
# chain_id=3
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# sample_file=result/calcium-model-const-Be-eta1/cell-5106/chain_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,sigma,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16
-527.227,1,0.03125,3,7,0,1747.6,1.18338,1.97035,0.582325,0.610624,0.440902,1.19996,0.384335,1.77702,1.31801,3.24152,1.23617,0.153536,1.35635,0.902528,1.77779,2.10847,0.608611
-527.227,0,14.3855,0,1,1,541.158,1.18338,1.97035,0.582325,0.610624,0.440902,1.19996,0.384335,1.77702,1.31801,3.24152,1.23617,0.153536,1.35635,0.902528,1.77779,2.10847,0.608611
-527.227,0,2.43117,0,1,1,535.713,1.18338,1.97035,0.582325,0.610624,0.440902,1.19996,0.384335,1.77702,1.31801,3.24152,1.23617,0.153536,1.35635,0.902528,1.77779,2.10847,0.608611
-527.227,0,0.239791,0,1,1,532.373,1.18338,1.97035,0.582325,0.610624,0.440902,1.19996,0.384335,1.77702,1.31801,3.24152,1.23617,0.153536,1.35635,0.902528,1.77779,2.10847,0.608611
-166.701,0.900712,0.0186273,5,48,1,475.911,0.972719,3.23914,0.0166377,0.600161,0.681026,0.0714062,0.259003,0.913555,0.201044,3.35943,0.0555638,0.123931,0.0543083,1.62043,0.626469,8.62494,0.376606
-77.4435,0.963898,0.0191341,4,15,0,170.454,0.518188,3.43381,0.0274599,0.574931,0.6879,0.0751034,0.258757,0.596184,0.595407,3.62196,0.0633817,0.143013,0.0738867,1.58007,0.749301,4.92791,0.293995
-56.9136,0.311877,0.0266941,4,23,0,83.9591,0.568858,3.27674,0.0323866,0.633892,0.691975,0.0750142,0.279849,0.598475,0.48375,3.38395,0.0654682,0.164673,0.0875215,1.67803,0.630665,4.66001,0.285922
-35.3387,0.974485,0.00529517,8,255,0,63.4884,0.378136,10.5306,0.0824333,0.978215,1.08332,0.188878,0.086116,4.69037,0.960976,10.4227,0.347142,0.259986,0.015852,7.40923,0.550038,5.53421,0.0965785
-15.5835,0.943875,0.00851925,7,127,0,43.7221,0.392762,4.67787,0.0849482,0.532688,0.408193,0.113001,0.115574,2.05842,0.645364,11.4113,0.307194,0.30602,0.025128,2.38221,0.379852,6.91479,0.107666
-15.7421,0.0162988,0.0129681,6,63,0,24.2277,0.390236,4.67564,0.0856473,0.52478,0.408534,0.113803,0.113005,2.05355,0.636732,11.631,0.30424,0.299807,0.0251995,2.33938,0.379895,6.99685,0.105862
-1.03466,0.999729,0.00107787,10,1023,0,24.7329,0.351045,3.10498,0.0776098,0.340277,0.129281,0.41141,0.0779658,1.51352,0.82898,6.27298,0.33148,0.113629,0.0314659,4.10384,0.937324,7.71445,0.169158
