# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=19
# stan_version_patch=1
# init=random
# enable_random_init=0
# seed=675434192
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# sample_file=result/calcium-model-const-Be-eta1/cell-5106/chain_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,sigma,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16
85.294,0.847369,0.00283615,8,255,0,-50.1573,0.135848,8.59025,0.17279,0.176146,0.0168246,0.0993572,0.0554289,2.13072,1.30686,0.203231,0.38482,0.605964,0.133757,0.459062,0.568791,9.49419,0.175092
90.5763,0.027768,0.00348177,8,255,0,-71.0078,0.130232,8.38057,0.179921,0.180217,0.0157011,0.0948804,0.0425517,2.12134,1.20946,0.208972,0.364578,0.608278,0.14619,0.495688,0.605623,8.79603,0.167661
95.2036,0.999409,0.00041805,10,1023,0,-85.031,0.124127,9.34861,0.150748,0.227119,0.0136266,0.100865,0.0401171,2.12025,1.25999,0.174172,0.393922,0.581145,0.160906,0.459187,0.644741,9.32457,0.138131
92.738,0.986677,0.000797366,11,2047,0,-86.4948,0.116139,9.04473,0.152179,0.260506,0.0126526,0.0742556,0.0426129,2.2385,1.32962,0.163778,0.391646,0.527043,0.139049,0.457955,0.614251,10.2078,0.118985
99.1284,0.980439,0.00145235,10,1023,0,-84.8709,0.101946,5.17208,0.170324,0.186897,0.00428273,0.0591046,0.0383872,1.05522,1.28987,0.184493,0.200858,0.854101,0.494065,0.130504,0.643139,11.2471,0.0674652
98.1254,0.156804,0.00257454,3,10,1,-89.083,0.101782,5.15432,0.170212,0.186039,0.00428311,0.0590719,0.0383535,1.05243,1.2954,0.185127,0.201687,0.857755,0.495156,0.130523,0.643201,11.2333,0.0676689
105.111,0.999959,0.000473817,10,1023,0,-94.7399,0.115357,7.32458,0.157584,0.214683,0.00425335,0.0491241,0.0402162,0.729624,1.15412,0.148288,0.185071,0.595645,0.370963,0.162224,0.535426,10.1419,0.0508037
97.7005,0.999401,0.00088553,8,255,0,-94.1633,0.106007,5.93853,0.14178,0.246142,0.00388031,0.0492319,0.0456434,0.820178,1.43451,0.154077,0.200527,0.511493,0.404727,0.143803,0.523909,10.3102,0.0494904
97.9061,0.649368,0.00163557,9,1023,0,-89.8534,0.0996978,5.62125,0.160916,0.171166,0.0107893,0.0735368,0.0456089,0.929429,1.50163,0.199795,0.410167,0.638165,0.268288,0.31496,0.696562,9.4833,0.0384322
98.2638,0.864183,0.00117379,7,127,0,-93.1347,0.0997634,5.69543,0.166293,0.176407,0.0109882,0.0739279,0.0445053,0.91707,1.46063,0.196711,0.407777,0.634676,0.272737,0.315124,0.699359,9.43269,0.0385021
97.6226,0.451278,0.00149634,9,1023,0,-86.0252,0.10309,3.54876,0.132608,0.191069,0.00554172,0.0883856,0.041181,1.2688,1.49807,0.224426,0.248606,0.591701,0.347875,0.248684,0.75941,10.0979,0.0337043
102.604,0.999827,0.00064153,10,2047,0,-92.7017,0.11737,3.70254,0.161071,0.162477,0.00764375,0.0935105,0.0365961,1.43081,1.17265,0.178121,0.2784,0.661326,0.32113,0.267663,0.716609,9.77218,0.018963
99.9152,0.976356,0.00116567,10,2047,0,-91.3267,0.0950494,12.4344,0.169532,0.179781,0.00484129,0.299308,0.0422837,2.16577,1.29591,0.130975,0.200838,0.650507,0.265051,0.242347,0.585398,10.5054,0.00815009
99.29,0.146089,0.00197428,2,4,1,-88.114,0.0952813,12.4474,0.169693,0.180171,0.0048528,0.299564,0.0423736,2.16568,1.29678,0.131235,0.200225,0.651514,0.26468,0.243133,0.588027,10.5283,0.00815588
107.722,0.99219,0.000393067,10,1023,0,-93.791,0.100479,8.98141,0.142316,0.212245,0.00489787,0.310879,0.0374723,1.91775,1.30666,0.154355,0.210618,0.71169,0.338772,0.229659,0.691073,10.3842,0.00676934
104.693,0.992037,0.000692972,11,2047,0,-101.14,0.112587,6.43564,0.161109,0.156399,0.00497959,0.278963,0.0395259,2.72997,1.22278,0.16836,0.192519,0.675192,0.344543,0.216449,0.616451,9.72871,0.00785103
106.526,0.997385,0.0012105,10,1023,0,-96.6016,0.103209,8.76102,0.178434,0.186716,0.00746895,0.155209,0.0354054,0.959162,1.32192,0.190138,0.315985,0.70088,0.310513,0.277897,0.808337,10.8054,0.00877874
106.088,0.146157,0.00212478,2,5,1,-100.253,0.10286,8.76733,0.17815,0.185827,0.00746924,0.15513,0.0354509,0.959348,1.32081,0.190255,0.316268,0.700542,0.310397,0.277941,0.808834,10.8009,0.00875024
101.731,0.991704,0.00044308,11,4095,0,-94.7015,0.103974,5.05118,0.155203,0.146314,0.00298369,0.263684,0.0388263,1.42589,1.20624,0.150401,0.113571,0.782831,0.313614,0.276541,0.790324,10.6218,0.00932765
105.795,0.953509,0.000765757,12,4095,0,-95.1621,0.0961264,9.26444,0.179975,0.187885,0.00323603,0.0780907,0.0459055,1.07045,1.36722,0.189103,0.131907,0.826707,0.371719,0.2067,0.732972,11.0439,0.00650094
102.776,0.939327,0.00119508,11,2047,0,-93.6287,0.113442,5.50879,0.138997,0.249769,0.00200178,0.0624274,0.038136,2.50646,1.17585,0.138636,0.0770754,0.764703,0.340354,0.203858,0.573934,9.73706,0.0134971
104.299,0.122159,0.00178978,9,511,0,-94.1301,0.0987465,5.1776,0.151144,0.212683,0.00182266,0.0587988,0.0405521,2.32069,1.42161,0.157853,0.0825149,0.732632,0.379437,0.182799,0.575991,9.7963,0.012058
102.936,0.998811,0.000368107,11,2047,0,-91.5981,0.105677,5.95056,0.199426,0.161704,0.00171482,0.0510207,0.0414249,1.4577,1.40964,0.185252,0.0764898,0.626224,0.34979,0.23764,0.735723,10.3433,0.0129255
104.606,0.998086,0.000637331,10,1023,0,-98.6333,0.0960145,7.0709,0.141219,0.273954,0.00191431,0.0634254,0.0410688,1.84482,1.29412,0.136561,0.0824961,0.728434,0.346446,0.17795,0.534131,10.1098,0.014171
102.071,0.916233,0.00109293,11,2047,0,-95.7411,0.109488,6.26276,0.187541,0.176735,0.00170634,0.0498141,0.0413417,1.77709,1.42291,0.217371,0.0725232,0.596603,0.329823,0.268637,0.799584,10.4077,0.02095
103.891,0.754228,0.00153165,9,511,0,-94.7212,0.0963675,9.12651,0.149988,0.302888,0.0019006,0.0350516,0.0427557,1.82132,1.33858,0.15083,0.0776538,0.790115,0.312536,0.229724,0.666139,10.651,0.0246742
100.235,0.0656797,0.00145815,9,511,0,-92.263,0.0919138,9.00604,0.144739,0.291345,0.00189324,0.0353506,0.0424848,1.82006,1.3777,0.146023,0.07961,0.7865,0.314894,0.235961,0.679931,10.5077,0.0241544
104.36,0.999958,0.000276967,13,8191,0,-87.5763,0.110348,7.613,0.150647,0.241605,0.00245462,0.0418554,0.0427248,2.92637,1.29728,0.169092,0.0998971,0.686473,0.348987,0.227398,0.693513,10.1972,0.0227479
102.247,0.996177,0.000472275,12,4095,0,-94.6596,0.116913,7.89224,0.179377,0.211588,0.00395017,0.0356328,0.0391786,1.97475,1.29665,0.179763,0.156543,0.703839,0.308453,0.251818,0.721201,10.5562,0.031057
103.131,0.975531,0.000792548,12,4095,0,-88.6873,0.105769,8.38252,0.182646,0.240236,0.00119964,0.0109938,0.0405241,1.34751,1.25721,0.17337,0.0512913,0.567559,0.319911,0.223737,0.651213,10.292,0.0588164
102.707,0.823107,0.00125967,10,1740,1,-94.4612,0.100211,5.20501,0.158005,0.260947,0.00212603,0.0106338,0.0448829,0.714141,1.25257,0.171429,0.0833345,0.691052,0.320861,0.209218,0.653209,10.8818,0.0592909
102.038,0.673976,0.00140528,11,4095,0,-93.9694,0.097473,4.95962,0.17899,0.349361,0.00937473,0.00100344,0.040003,0.852393,1.42988,0.170074,0.407022,0.815079,0.375804,0.198586,0.625129,9.90478,0.0111612
102.56,0.970755,0.00111605,10,1023,0,-87.6128,0.100263,4.99109,0.177381,0.357414,0.00979534,0.000987464,0.0420191,0.840171,1.42245,0.173562,0.415815,0.809137,0.369067,0.198158,0.621007,10.0024,0.0111802
104.445,0.137735,0.00173457,9,1023,0,-94.3573,0.0913584,4.89213,0.181755,0.334939,0.00918137,0.00112493,0.0399502,0.801609,1.26771,0.146662,0.374047,0.788167,0.348055,0.195105,0.569922,9.90499,0.0101989
104.731,0.988319,0.000414848,11,2047,0,-99.4076,0.101319,8.71349,0.212109,0.307467,0.00632231,0.000803945,0.0387612,1.08458,1.41419,0.204686,0.281017,0.691037,0.357981,0.251207,0.807998,10.4701,0.0110446
106.747,0.97303,0.000670529,13,8191,0,-99.3905,0.0896098,5.90452,0.190879,0.346531,0.00680173,0.000590498,0.0421297,0.636084,1.42002,0.146905,0.298378,0.851132,0.336615,0.205095,0.629146,10.5317,0.0190128
105.809,0.674781,0.00104143,10,1535,0,-99.9797,0.10278,5.8089,0.196084,0.291193,0.00361955,0.00102438,0.037024,0.641782,1.42326,0.169464,0.182735,0.547916,0.32696,0.250718,0.753423,10.6424,0.0121824
103.322,0.896378,0.000834627,11,3906,1,-96.7753,0.112679,6.34097,0.192457,0.411678,0.00151468,0.000253547,0.037444,1.26799,1.23163,0.183504,0.0651829,0.545692,0.345357,0.242234,0.707811,9.98578,0.00783612
