# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=19
# stan_version_patch=1
# init=random
# enable_random_init=0
# seed=191936064
# chain_id=1
# iter=1000
# warmup=500
# save_warmup=1
# thin=1
# refresh=100
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=result/calcium-model-100-root-5106-const-Be-eta1/cell-5054/chain_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,sigma,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16
-96508.3,1,0.00195312,1,1,0,248261,2.04286,0.266533,2.09608,0.250209,2.07899,0.273458,0.553096,0.356307,0.422778,0.18492,2.2004,0.168291,0.171616,0.397206,0.383316,1.08251,1.13434
-96508.3,0,14.3855,0,1,1,96516,2.04286,0.266533,2.09608,0.250209,2.07899,0.273458,0.553096,0.356307,0.422778,0.18492,2.2004,0.168291,0.171616,0.397206,0.383316,1.08251,1.13434
-96508.3,0,2.43117,0,1,1,96519.4,2.04286,0.266533,2.09608,0.250209,2.07899,0.273458,0.553096,0.356307,0.422778,0.18492,2.2004,0.168291,0.171616,0.397206,0.383316,1.08251,1.13434
-96508.3,0,0.239791,0,1,1,96523.2,2.04286,0.266533,2.09608,0.250209,2.07899,0.273458,0.553096,0.356307,0.422778,0.18492,2.2004,0.168291,0.171616,0.397206,0.383316,1.08251,1.13434
-96508.3,0,0.0186273,0,1,1,96518.8,2.04286,0.266533,2.09608,0.250209,2.07899,0.273458,0.553096,0.356307,0.422778,0.18492,2.2004,0.168291,0.171616,0.397206,0.383316,1.08251,1.13434
-84226.5,1,0.00130482,1,1,0,95679.6,2.04183,0.266764,1.94065,0.250038,2.07622,0.273454,0.553191,0.331874,0.422572,0.18292,2.19779,0.168086,0.171684,0.397048,0.383228,1.0832,1.13388
-36534.7,1,0.00189104,3,7,0,81039.4,2.04021,0.264585,1.19667,0.249342,2.07151,0.274184,0.549331,0.207777,0.422884,0.165572,2.19227,0.167885,0.172025,0.396558,0.379615,1.07582,1.12798
-29169.1,1,0.00305706,1,1,0,35732.6,2.03616,0.263264,1.04699,0.248162,2.07021,0.274056,0.54443,0.181941,0.422426,0.157352,2.203,0.168118,0.171717,0.395768,0.379721,1.07848,1.11499
-17567.5,1,0.00530085,2,3,0,26880.2,2.02624,0.260538,0.768078,0.247637,2.07388,0.272908,0.531879,0.133676,0.424978,0.135278,2.19384,0.168048,0.17042,0.395991,0.377318,1.07401,1.08138
-7654.31,1,0.00961161,1,1,0,15020,2.02002,0.247898,0.448289,0.237822,2.07424,0.275146,0.501846,0.0778623,0.420086,0.0947345,2.14974,0.169254,0.172763,0.397875,0.36629,1.06514,1.00628
-3107.94,1,0.0179176,3,7,0,6440.59,2.01216,0.217569,0.249904,0.20651,2.0996,0.279111,0.433462,0.0410445,0.41172,0.0527617,2.07532,0.172382,0.170436,0.403477,0.353005,1.06311,0.809055
-1169.96,1,0.0339435,3,7,0,2574.52,2.01358,0.153965,0.137906,0.140226,2.06928,0.289199,0.287709,0.0218711,0.41119,0.027584,2.05355,0.17697,0.176794,0.401484,0.285426,1.13589,0.513204
-520.981,0.666667,0.0648221,1,3,1,992.306,1.74996,0.0900418,0.0833396,0.077088,1.77394,0.287944,0.152577,0.0131528,0.419868,0.0143455,2.0342,0.188449,0.172697,0.404544,0.219007,1.30746,0.267935
-378.11,1,0.0436362,2,3,0,522.495,1.90669,0.064517,0.0592375,0.0671984,1.85189,0.279468,0.12519,0.00981323,0.388353,0.0104464,1.96362,0.208551,0.188951,0.420277,0.202759,1.96637,0.211848
-378.11,0.0176448,0.0838755,1,2,1,388.243,1.90669,0.064517,0.0592375,0.0671984,1.85189,0.279468,0.12519,0.00981323,0.388353,0.0104464,1.96362,0.208551,0.188951,0.420277,0.202759,1.96637,0.211848
-299.941,0.977737,0.00765563,4,15,0,381.59,1.73066,0.0617697,0.0565537,0.0616434,1.8854,0.279917,0.120313,0.00839539,0.366961,0.00958821,2.09989,0.207627,0.184574,0.388817,0.191483,2.8201,0.196968
-292.5,0.983626,0.0139019,3,7,0,308.977,1.67257,0.0619728,0.0567123,0.0620481,1.92008,0.279839,0.123308,0.00832974,0.37285,0.00952828,2.12625,0.20671,0.180461,0.38628,0.191049,2.92113,0.195417
-200.918,0.828753,0.0255729,3,7,0,281.233,1.3138,0.0562865,0.0529897,0.0574201,1.95355,0.285995,0.113618,0.00767348,0.389551,0.00805519,2.00497,0.213234,0.210341,0.393565,0.202755,5.01863,0.182619
-194.313,0.714289,0.0292236,3,7,0,208.117,1.41009,0.0565999,0.0518786,0.0585704,1.97139,0.285038,0.11191,0.00728262,0.380838,0.00771267,1.99098,0.220443,0.201574,0.378953,0.207688,4.66866,0.177329
-151.227,0.99901,0.0236685,3,7,0,200.364,0.919793,0.0563517,0.0520011,0.0569102,1.88723,0.327166,0.0870416,0.0061255,0.367073,0.0068815,1.90184,0.221165,0.210068,0.360364,0.224673,4.48651,0.155702
-121.96,0.472344,0.0450235,2,5,1,156.158,0.73769,0.0567778,0.0459352,0.0435414,1.93224,0.296434,0.0721027,0.00593277,0.342501,0.0074684,1.99658,0.200322,0.244767,0.341589,0.195412,3.99062,0.137625
-62.7691,0.790586,0.0178792,4,20,1,132.254,0.507618,0.0210488,0.0322801,0.0340736,1.3986,0.235044,0.0512852,0.00375222,0.38444,0.00711394,2.72552,0.317629,0.335831,0.248049,0.220826,4.32005,0.144672
-50.9327,0.553582,0.018348,3,15,1,69.6648,0.486665,0.0203907,0.0323067,0.0383819,1.30688,0.261165,0.0535899,0.0035484,0.41493,0.00666085,2.80466,0.326165,0.320442,0.241134,0.233088,4.46461,0.142344
19.6495,0.986236,0.00945843,4,15,0,56.76,0.435904,0.0146076,0.0318924,0.0292389,1.16562,0.362109,0.0530627,0.00318195,0.385598,0.00705878,2.91931,0.341653,0.269979,0.244805,0.20936,4.90647,0.132595
54.2396,0.467168,0.0171678,3,7,0,-14.3483,0.38682,0.0141367,0.0288123,0.0282958,1.08159,0.397088,0.0496458,0.00308946,0.366708,0.00709239,3.00997,0.371834,0.246735,0.236627,0.220508,5.13162,0.134833
81.5952,0.956782,0.00700387,4,15,0,-51.6371,0.326875,0.0131349,0.0279636,0.0267623,0.970937,0.401153,0.0493885,0.00313048,0.36384,0.00740688,3.0977,0.380379,0.246112,0.234246,0.221683,5.4033,0.133881
82.7325,0.125836,0.0116175,3,9,1,-74.2387,0.323448,0.013057,0.0278424,0.0264201,0.986585,0.398226,0.0498192,0.00306079,0.359424,0.00736491,3.12967,0.378146,0.241515,0.231409,0.220628,5.44678,0.133095
99.498,0.999542,0.00185217,6,63,0,-77.5724,0.278035,0.0127493,0.0279083,0.0248912,0.997034,0.402292,0.0514871,0.00307657,0.360153,0.00741766,3.07395,0.368475,0.252616,0.227141,0.213414,5.29031,0.128187
128.458,0.989735,0.00347185,6,63,0,-90.9409,0.186349,0.0144352,0.0271671,0.0285102,1.07349,0.460877,0.0513521,0.00258227,0.395769,0.00702825,2.98735,0.436936,0.230284,0.252,0.198295,4.96807,0.129137
134.828,0.234643,0.00626845,6,76,1,-113.533,0.172842,0.0163638,0.0231856,0.02839,0.930747,0.515623,0.0477578,0.00300214,0.424276,0.00660849,3.24754,0.489994,0.244735,0.253801,0.219902,4.99072,0.15465
223.572,0.752229,0.0014172,10,1023,0,-135.921,0.0590013,0.0463075,0.00359295,0.0718021,0.482324,0.646246,0.163663,0.0032949,1.56123,0.000897559,3.44774,0.729278,0.151805,0.294217,0.209243,5.9842,0.0710077
283.653,0.810666,0.00133933,7,127,0,-210.117,0.0706297,0.0466159,0.0032455,0.0688914,0.452356,0.586218,0.166449,0.00350063,1.65997,0.000968266,3.49954,0.725038,0.15765,0.311196,0.226872,5.88394,0.0730206
306.886,0.630149,0.0014828,8,255,0,-276.622,0.0616895,0.0477799,0.00384102,0.0694866,0.398554,0.489017,0.127009,0.0047409,1.81063,0.000940835,3.76991,0.913296,0.147542,0.325427,0.220242,5.78021,0.09844
311.85,0.91263,0.00101169,9,511,0,-301.301,0.0603181,0.0502161,0.00424187,0.0695517,0.370849,0.418588,0.125317,0.00565918,2.00946,0.000837536,4.66403,0.81935,0.15119,0.296447,0.227704,6.23724,0.102743
304.991,0.329297,0.00146817,8,363,1,-300.093,0.060968,0.0518601,0.0040449,0.0716194,0.368198,0.460964,0.129184,0.00500127,2.14847,0.000989028,4.64384,0.713213,0.15999,0.296467,0.235075,6.13318,0.0975498
310.641,0.999697,0.000456809,10,1023,0,-298.329,0.0564082,0.0411042,0.00465539,0.0548371,0.310085,0.312962,0.13554,0.00546172,1.54428,0.000681992,3.8729,0.878865,0.172756,0.252687,0.209419,6.05814,0.0772444
335.658,0.994636,0.000831964,10,1023,0,-299.791,0.0564777,0.0539625,0.00829561,0.0348983,0.200403,0.108346,0.0820782,0.00464354,1.17116,0.00114102,5.99984,1.13775,0.142639,0.287007,0.207272,6.05969,0.154085
333.464,0.332392,0.00148125,5,52,1,-318.734,0.0575776,0.0533614,0.0083107,0.0349215,0.197653,0.10462,0.0797002,0.00473301,1.13784,0.00113539,5.956,1.11388,0.141522,0.290934,0.206062,6.02041,0.151576
335.974,0.98906,0.000476939,10,1023,0,-327.094,0.0588269,0.0486383,0.00694205,0.0447504,0.138645,0.0929076,0.11355,0.00417493,1.54802,0.00092413,3.37935,1.37572,0.170782,0.258141,0.22782,6.32532,0.0979592
339.762,0.94284,0.00083293,10,1023,0,-327.503,0.050713,0.0396167,0.00802312,0.0353143,0.142203,0.0672347,0.101466,0.00425072,1.27984,0.000727793,3.6928,1.28924,0.158221,0.273806,0.21543,6.18727,0.0889123
341.061,0.00664612,0.00128293,7,255,0,-328.323,0.0506931,0.0395512,0.00801694,0.0353195,0.142557,0.0672238,0.101795,0.00425086,1.28047,0.000726029,3.69191,1.29193,0.15848,0.274002,0.215672,6.17876,0.088723
336.515,0.997261,0.000187043,10,1023,0,-329.237,0.056554,0.0449823,0.00912413,0.0296359,0.129605,0.0725709,0.104724,0.00407172,1.33997,0.000874065,3.57911,1.37348,0.173031,0.27047,0.248173,6.49047,0.0962975
338.222,0.986117,0.000331279,10,1023,0,-318.991,0.0525487,0.037579,0.00909243,0.0318968,0.154769,0.0463407,0.0811116,0.0042712,1.06375,0.00115332,4.55936,1.20506,0.139715,0.312522,0.202902,5.87104,0.0784222
340.134,0.991818,0.000565869,10,1023,0,-328.841,0.0517318,0.0403318,0.00910027,0.0324722,0.154258,0.056586,0.0838638,0.00472644,1.17786,0.00117277,4.43283,1.20752,0.132614,0.32784,0.21364,6.11462,0.0778689
340.741,0.99981,0.000972382,10,1023,0,-333.948,0.0519878,0.0381762,0.00794486,0.0455261,0.120032,0.0298216,0.0836497,0.00464954,1.40951,0.00077124,4.22863,1.45196,0.206459,0.182855,0.207888,6.43101,0.193478
340.741,0.00459731,0.00169025,2,5,1,-335.285,0.0519878,0.0381762,0.00794486,0.0455261,0.120032,0.0298216,0.0836497,0.00464954,1.40951,0.00077124,4.22863,1.45196,0.206459,0.182855,0.207888,6.43101,0.193478
342.733,0.997069,0.000261594,10,1023,0,-335.865,0.0497206,0.0346912,0.00793839,0.0404091,0.119904,0.0297186,0.0842748,0.00433197,1.36412,0.00078392,4.17378,1.39029,0.2061,0.203755,0.230877,6.46554,0.172238
340.369,0.992533,0.000452091,9,511,0,-335.607,0.0567933,0.0396493,0.00815078,0.0451291,0.112771,0.0297998,0.0820762,0.00465092,1.39363,0.00085882,4.3304,1.43345,0.230687,0.16691,0.214953,6.61552,0.164231
342.06,0.996685,0.000766854,10,1023,0,-334.78,0.0523493,0.0344403,0.0106615,0.0280877,0.0898589,0.0299776,0.07291,0.00445931,1.08524,0.000513623,2.99951,1.25373,0.136176,0.320847,0.216616,6.11124,0.0925387
336.793,0.9492,0.00130385,9,517,1,-330.843,0.0568114,0.0425452,0.00852104,0.0418993,0.104415,0.0359189,0.0834235,0.00493656,1.3956,0.000504489,3.68208,1.39358,0.183325,0.206811,0.210027,6.51601,0.164939
336.793,5.41063e-16,0.00196752,1,3,0,-326.292,0.0568114,0.0425452,0.00852104,0.0418993,0.104415,0.0359189,0.0834235,0.00493656,1.3956,0.000504489,3.68208,1.39358,0.183325,0.206811,0.210027,6.51601,0.164939
336.294,0.996871,0.000319815,10,1023,0,-326.174,0.0590953,0.0387693,0.00876928,0.0407575,0.107227,0.0389041,0.0720656,0.00471782,1.29948,0.000531268,4.11747,1.27009,0.206828,0.204461,0.223692,6.31877,0.173811
341.208,0.951757,0.000540927,10,1023,0,-328.696,0.0590165,0.0336064,0.00856452,0.0382282,0.100764,0.0338986,0.0853235,0.00467441,1.41226,0.000402671,2.83312,1.50866,0.152959,0.28539,0.222389,6.16738,0.130661
340.645,0.971391,0.000818472,10,1023,0,-333.343,0.0603607,0.0354102,0.0086423,0.0381163,0.0976511,0.0350924,0.0868589,0.00464987,1.41941,0.000414169,2.90481,1.48606,0.164213,0.264412,0.228209,6.34118,0.125863
339.787,0.585254,0.0012883,7,132,1,-334.904,0.0517423,0.0378368,0.0086878,0.0387116,0.0940152,0.035501,0.0933046,0.00451782,1.39306,0.000393425,2.79313,1.38173,0.157899,0.248127,0.202064,6.22422,0.126666
337.776,0.774265,0.000835109,10,1023,0,-331.159,0.0522734,0.0387921,0.00762149,0.0463408,0.0869704,0.0392477,0.0880057,0.00410934,1.38461,0.000701764,2.64128,1.24079,0.145084,0.299325,0.222259,6.18051,0.125963
336.144,0.998648,0.000835298,8,255,0,-331.909,0.0550327,0.0352533,0.00717685,0.0516489,0.092711,0.0419995,0.0761322,0.00459614,1.43569,0.000797982,2.6065,1.35789,0.14963,0.325628,0.238163,5.98404,0.134689
334.492,0.914246,0.00138493,7,206,1,-326.842,0.0526753,0.0311521,0.00683472,0.0491072,0.10151,0.0349327,0.0872426,0.00448087,1.26005,0.000748808,2.7823,1.16467,0.138881,0.285582,0.193352,5.93132,0.135142
332.516,0.126046,0.00188845,1,3,0,-323.283,0.0527171,0.0311686,0.00682438,0.0491269,0.101662,0.0348302,0.0871567,0.00445522,1.25778,0.000750161,2.7753,1.16714,0.138772,0.285295,0.192916,5.92883,0.135092
336.542,0.969955,0.000443518,10,1023,0,-321.845,0.060266,0.0363641,0.00890414,0.0366832,0.0742541,0.0341583,0.0808778,0.0042352,1.38852,0.000670872,2.63867,1.23909,0.186758,0.237482,0.23764,6.31034,0.173319
340.228,0.956561,0.000685868,10,1023,0,-327.579,0.0538973,0.0295821,0.00812417,0.0357326,0.086388,0.0339401,0.0929276,0.00429648,1.32042,0.000749179,2.01571,1.4719,0.132877,0.324791,0.210804,5.85359,0.170915
342.31,0.931218,0.00102425,10,1023,0,-331.782,0.0509589,0.0270201,0.00975808,0.0389665,0.0426389,0.0113077,0.0600695,0.00449605,1.0346,0.00109978,1.77954,1.51015,0.212391,0.209359,0.215802,6.16646,0.0756526
341.029,0.137802,0.00143995,2,7,0,-328.381,0.050991,0.0270137,0.0097534,0.03897,0.0425831,0.0112902,0.0600428,0.0044984,1.03854,0.00109982,1.7827,1.5075,0.213181,0.209746,0.216502,6.1639,0.075628
