,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
sigma,0.03656809543558553,0.0016807460605462348,0.0030832479318377167,0.0303620177317911,0.03454986062176769,0.036931878961103434,0.038722263942463836,0.04183405122362334,3.3652140520635805,1.562595426558547
theta[1],0.0016237500266991906,0.00024528046168687944,0.0006900177866885453,0.00044435211920635775,0.001126014008755965,0.001551398835600488,0.0020376103069913555,0.0031629183082535137,7.91397477305947,1.2007263867236742
theta[2],0.02542962000842699,0.00452961286472085,0.013745297990693127,9.675085767029022e-05,0.01989700681508403,0.02735157748798911,0.033837783871761985,0.04998619446512377,9.208441812095652,1.4483227078303886
theta[3],0.028558641341816886,0.00303677655062502,0.012798340390840296,0.00016968382385065586,0.022793468737627415,0.02962652963218673,0.036246080892378144,0.05209502827210355,17.761581744293508,1.3187983662904983
theta[4],0.1585021757563971,0.005236866512142397,0.06070408974090033,0.05030939307601954,0.11535793695474258,0.15337100157347525,0.1987620512515387,0.2879862751726865,134.36708475256458,1.0358601473226101
theta[5],0.003854130392927112,0.00011769693346592338,0.0018198022486172734,0.0006072953842816066,0.0025320540712624384,0.0037860283739556094,0.005038847426984312,0.007729875792796204,239.0661564601122,1.0186841924960028
theta[6],0.09575956845175661,0.020052428427961188,0.03913010305381053,0.042307174269090295,0.06742811907430073,0.0858839605263228,0.11364031988572754,0.19264566097105007,3.8079219090866157,1.4452386033628724
theta[7],0.012806279130097915,0.0004591351177991199,0.0010596737063947963,0.010515257249050778,0.012123760511837382,0.012879325282369024,0.013568205638178545,0.014731301315187543,5.326762000968771,1.2969925111738843
theta[8],0.3553599354054024,0.08268665185269244,0.15012157631335596,0.121784120928949,0.2025562414409962,0.37214225345971197,0.4684916627207216,0.6277613442457197,3.2962141413680692,1.5927709818629854
theta[9],0.00410153848244188,0.0010073876122336613,0.0016806555269599966,0.0004977940108363724,0.0030753456231575045,0.0045265029752318674,0.005298116378058635,0.006647422944297627,2.7833268167070093,1.8710007801717998
theta[10],0.5699050449480858,0.15172644114184938,0.37590851869929787,0.07273049286175885,0.2895250795260935,0.4921316797284666,0.7580515726824836,1.5160688702880396,6.138210712552946,1.23968567815069
theta[11],0.6432708260344144,0.030807527437997608,0.14080548586625452,0.373177835994303,0.5497601144753963,0.6398305225319096,0.7328660220087168,0.9389973961676795,20.889375809525855,1.091086154594383
theta[12],0.19425667432590452,0.0008981274599572375,0.020393926446401336,0.15645828741526835,0.18017871602454502,0.19303416919733665,0.20729808354097407,0.23622044942379472,515.615242324667,1.0124383646414452
theta[13],0.2812873248861266,0.0041147051147937,0.03486965299779385,0.21527698853241006,0.2574588612171594,0.27940733702397114,0.30468378760520376,0.35203707004731044,71.81543877240813,1.056395443797872
theta[14],0.2842845774352191,0.008627278051275935,0.026560387472859704,0.2350260092335399,0.2652169440495906,0.28312378745602695,0.30345512958456566,0.33598550404006267,9.478098597971918,1.158049269341996
theta[15],6.44370011895602,0.012776025572199033,0.2835037027729701,5.906987303228497,6.247390777844558,6.424732050617436,6.635057205439588,7.0169949374818135,492.40893651399836,1.0197666044334104
theta[16],0.011283173013472219,0.0028722556419461644,0.009531455472845729,0.0003521781578927481,0.0039952232646679135,0.008804023797824186,0.016022006740112622,0.03492810556211555,11.01215369990741,1.128744854462803
lp__,419.6105416932033,6.582779375579999,9.768127861322018,408.17226726398474,413.27564140453103,415.939691569096,422.90887234284924,439.5204015590771,2.2019328564565486,3.2747432771354164
