Cell	Parent
2345	1170
2679	1170
2897	1170
3859	1170
4093	1465
336	1523
470	1523
549	1523
551	1523
938	1523
3841	1523
4074	1523
5077	1523
602	1732
1057	1732
2121	1732
5121	2098
3216	2125
653	2146
1273	2146
3809	2146
980	2323
1533	2323
2100	2323
2442	2323
2593	2323
2665	2323
3472	2323
4880	2323
649	2417
733	2417
2828	2417
3018	2417
3250	2417
4409	2417
2486	2510
323	2995
1188	2995
1606	2995
1703	2995
1975	2995
2445	2995
2535	2995
2729	2995
2965	2995
3971	2995
4437	2995
3849	2998
1030	3080
3142	3167
3689	3167
4013	3167
4412	3167
4508	3167
3753	3184
4604	3460
4799	3460
1373	3485
2318	3485
2927	3485
4695	3485
5028	3553
915	3654
1673	3654
2305	3654
1431	3684
35	3723
3255	3723
3713	3723
3966	3723
3913	3826
4584	3826
4827	3826
4838	3826
1295	3916
2978	3916
4691	3916
5071	3916
1207	4100
2366	4158
3078	4158
3336	4158
666	4163
935	4163
4221	4163
4654	4163
4918	4163
5096	4239
2861	4373
901	4523
3761	4523
4099	4523
49	343
225	343
257	343
266	343
297	343
501	343
513	343
580	343
1033	343
1039	343
1087	343
1333	343
1432	343
1506	343
1663	343
1669	343
1671	343
2099	343
2171	343
2410	343
2422	343
2528	343
2648	343
2738	343
2813	343
3127	343
3158	343
3656	343
3673	343
3686	343
3758	343
4003	343
4235	343
4552	343
4634	343
10	391
15	391
41	391
287	391
378	391
490	391
652	391
731	391
1139	391
1494	391
1856	391
2130	391
3131	391
3152	391
3181	391
3273	391
3569	391
3622	391
3666	391
3780	391
4009	391
4242	391
4398	391
4511	391
4646	391
248	412
271	412
290	412
618	412
691	412
715	412
1484	412
3139	412
3187	412
3196	412
3350	412
3577	412
3596	412
3773	412
4045	412
4295	412
4416	412
4652	412
4653	412
4894	412
5120	412
8	419
93	419
1054	419
1091	419
2232	419
3489	419
3568	419
4276	419
4414	419
98	439
113	439
613	439
745	439
1658	439
2151	439
2226	439
2640	439
3027	439
3296	439
4307	439
4401	439
4659	439
4888	439
1218	584
1505	584
1670	584
1693	584
2157	584
2176	584
2338	584
2395	584
2734	584
3023	584
4197	584
4261	584
4655	584
4784	584
39	599
263	599
382	599
667	599
3586	599
3999	599
4305	599
347	650
390	650
1688	650
3627	650
3899	650
4142	650
4282	650
4389	650
4936	650
3559	670
732	706
1571	706
1682	706
2294	706
2543	706
2841	706
3123	706
3231	706
4231	706
4263	706
4497	706
517	916
