,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
sigma,0.04971711975361789,0.0002135587830756658,0.002718417720936927,0.044556407458072406,0.04790742573988277,0.04954774459942414,0.051400143599337464,0.05542520815569558,162.03077541508284,1.0253123140739517
theta[1],0.00940232066412377,0.00039661870567990265,0.0029880737934401165,0.004403777356879362,0.007188888554823298,0.009091443252945107,0.011335467365746544,0.015697442261689183,56.75919813727947,1.0574972619891236
theta[2],0.06484221916410052,0.0007497465648420762,0.00851776732354516,0.04959758579851213,0.05840491706405596,0.06468831687056241,0.07076247266243063,0.08270357622784093,129.06918736505656,1.026956808276401
theta[3],0.06015351131413867,0.0008483369867634722,0.008452504187197975,0.04520659134025476,0.05392229464597195,0.059383325538881225,0.06576911696726236,0.07686279279527033,99.27364878678699,1.044729956582109
theta[4],0.18961351728657502,0.0067022254152302,0.07692141154498662,0.06690318150048316,0.13266069293480692,0.18090522365656347,0.2367093765732906,0.3577099844970151,131.7214278112502,1.021492953210095
theta[5],0.026652244500596518,0.0009330870434988162,0.012114925831187525,0.006094971390084769,0.018299566382229147,0.025207057394817052,0.03424269678017981,0.05379614285222174,168.57656544539785,1.0320859557793274
theta[6],0.10613361700508286,0.0013333649563648064,0.015119461125649313,0.0782283456462472,0.09542486935447256,0.10511090327979095,0.11608415670893887,0.1373513437995208,128.58033468835308,1.062311903879146
theta[7],0.0035220977046973084,0.00015363262533942153,0.0014001167928062595,0.0011074653618671944,0.0025052221543352708,0.003504834689128592,0.004466449364404923,0.006316043569485204,83.05420489717618,1.0167109298021206
theta[8],1.1636459703516082,0.07504172578631065,0.5813940198705995,0.07326648874974456,0.7652939691729643,1.1536765346490356,1.548000942066733,2.340474656053402,60.025459628310536,1.05409605091561
theta[9],0.029804462068878438,0.000385521225129385,0.002666357701855229,0.0249775142921805,0.02790204871443542,0.02966049980561136,0.03155432068380614,0.03558454009229446,47.83438950711694,1.09187159140112
theta[10],0.5003729788128461,0.023900831806508677,0.2396351466316395,0.1247794860045246,0.32191994450572703,0.4700991900247677,0.6523868626312737,1.034878903896201,100.525212292987,1.0237320328966013
theta[11],1.0850115538399678,0.026582648614025164,0.23480253359497943,0.6482720000625701,0.9206123328565128,1.0668442058094598,1.2377169488039033,1.5697202097593983,78.02055879623285,1.0407096794052617
theta[12],0.15389273267249995,0.003400926114464998,0.021029767832389426,0.11533386796136512,0.14004679726446428,0.15219318702408818,0.16809743282872536,0.19456227776499613,38.23618571917416,1.1121908558256337
theta[13],0.1930287112835437,0.004283656161888931,0.02961381400273203,0.14381422484688763,0.17183904001277062,0.19174504819271626,0.2101002357424399,0.2561493072823967,47.792470528092586,1.0943228656690829
theta[14],0.14591241290616014,0.0008135469196220433,0.007530747753440813,0.1312194684092134,0.14082397315971348,0.14597694216979318,0.15120091263384397,0.16039384650144758,85.68622141688508,1.0409901131058112
theta[15],6.351549529268278,0.03441211719936855,0.2756845507571942,5.841467953420641,6.164389602366307,6.348853122513855,6.5358699175185375,6.889739598498206,64.1803485841674,1.043585512577156
theta[16],0.0037350057670925726,0.00037721234892016417,0.0027289511959453657,0.00020493731141034885,0.001504418288969764,0.0033373152430477542,0.005449928306720933,0.010299689054051672,52.33831466779062,1.104718047447877
lp__,370.37579378064487,0.41787955926387954,3.1277844869627054,363.45577192490566,368.429932673157,370.7573471222508,372.6473487400402,375.55756831596693,56.02364826135084,1.0993068990303025
