,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
sigma,0.033734329259731695,0.0001521978351261964,0.001929412864689431,0.030269234460182315,0.032442871600868735,0.03359968436794408,0.034867659673571166,0.03826021847726764,160.7064803923289,1.016923726705133
theta[1],0.002582521140791986,7.026504401783814e-05,0.0007531502884878781,0.001293243807169434,0.0020399991490622315,0.0025345842439009657,0.0030529055980727995,0.004220485466142135,114.8906398817863,1.0565727198763726
theta[2],0.05019482312550765,0.0005375990715284124,0.004062596910278171,0.04252950754720436,0.04731278736561842,0.05015668901997243,0.05283381093798057,0.058806376804882765,57.107144881252616,1.0570956277385577
theta[3],0.04862798405285298,0.0005613220830742211,0.004292157732477912,0.04053694555772312,0.04547747101959302,0.04867566491145864,0.05155715695237452,0.05688708298871516,58.469191765636445,1.0761947455575274
theta[4],1.2992725398498473,0.059068808390977307,0.5023208935158344,0.3999861448055014,0.9344004945404354,1.2840476356656931,1.6214035037777796,2.308587481855378,72.31794314055041,1.044161982414874
theta[5],0.01595498329281128,0.000576233112069406,0.007427218822476596,0.004692995414946706,0.00992388789498613,0.015401944096814195,0.020736137967327005,0.03234262886296445,166.13304215494685,1.0210820463448789
theta[6],0.09801196663263428,0.001039403019262826,0.010054699867302189,0.07980899360764998,0.09088284403202138,0.09735420143370409,0.10448722696442381,0.1193895776898345,93.5772492674055,1.0224280849079492
theta[7],0.0013167063217892044,8.38451947021403e-05,0.0006844566265613304,0.00027691638533900706,0.0008075220466848265,0.001253297415126575,0.001744550515096449,0.0028943321767356967,66.64008000631368,1.0466705486777006
theta[8],7.339959364432152,0.3289131202215364,3.0425167835566964,2.2013061861320393,5.003394915058308,7.216591699040147,9.487504583874083,13.57523386624425,85.56646096381043,1.0459482788772798
theta[9],0.0006414720949126236,4.4185290908812676e-05,0.0004667189272335965,3.271670065262533e-05,0.00028500865473435756,0.0005287150721170672,0.0009189225794184531,0.0017796658948633771,111.57204408416513,1.0365520527575847
theta[10],1.145863697815619,0.11983653159528543,0.5921052035721442,0.21225647367025202,0.7309758524692853,1.0761816037100491,1.5186216388499236,2.4304503774019413,24.41289560009402,1.1136746176921037
theta[11],2.3873590623949386,0.019074094624968743,0.20563763597898996,1.9919743755651802,2.2472521537983465,2.3812827864160075,2.5206520513263952,2.810635766434676,116.22975958754594,1.045297129128473
theta[12],0.32816346047837963,0.004570956584438054,0.03355901353148261,0.2661896346244437,0.3052066253231096,0.32636747868448657,0.35231823207430457,0.39323025527552785,53.90191313624271,1.043276602845585
theta[13],0.21428394332680273,0.003765254745407644,0.026409117335125507,0.1676695548879112,0.19523091935055337,0.2115022863266549,0.23096829096429658,0.27309437714008683,49.19478231752993,1.0367098890842996
theta[14],0.3803245616897527,0.0015280134066342382,0.01485871686436888,0.3500302051935082,0.37093279429322024,0.3804239783577762,0.3903434522748259,0.40844651135849713,94.56017886202777,1.030947356007051
theta[15],6.588613823719641,0.027139645137285784,0.24330432492789703,6.1468474397780835,6.416216199220663,6.579620691004531,6.757086841567618,7.098515204036004,80.36951144432923,1.048975359839132
theta[16],0.0684997624258513,0.001068782575995558,0.012888350929858768,0.04308358975486805,0.06034921854054949,0.06833821166024728,0.07690173419896228,0.09385166191567926,145.41726607720898,1.0139558375057767
lp__,415.40043073146137,0.21075506962487206,2.9086554209710687,408.62558642258057,413.78269017334014,415.71170557591876,417.4626804734482,420.12657260641924,190.470836568501,1.0092967062286788
